ESS_mg,sigma_floor_variance_mg_g_sq,k,b,observed_variance_mg_g_sq,observed_sd_mg_g
405.0,0.16,36.0,1.0,0.24888888888888888,0.49888765156985887
406.0,0.16,36.0,1.0,0.24866995073891626,0.49866817698637667
407.0,0.16,36.0,1.0,0.24845208845208844,0.498449684975413
408.0,0.16,36.0,1.0,0.24823529411764705,0.49823216889081645
409.0,0.16,36.0,1.0,0.24801955990220048,0.49801562214673595
410.0,0.16,36.0,1.0,0.24780487804878049,0.4978000382169335
411.0,0.16,36.0,1.0,0.24759124087591242,0.49758541063410655
412.0,0.16,36.0,1.0,0.24737864077669902,0.49737173298921905
413.0,0.16,36.0,1.0,0.24716707021791767,0.4971589989308427
414.0,0.16,36.0,1.0,0.24695652173913044,0.49694720216450605
415.0,0.16,36.0,1.0,0.24674698795180722,0.496736336452053
416.0,0.16,36.0,1.0,0.24653846153846154,0.4965263956110103
417.0,0.16,36.0,1.0,0.24633093525179856,0.4963173735139629
418.0,0.16,36.0,1.0,0.2461244019138756,0.4961092640879382
419.0,0.16,36.0,1.0,0.24591885441527445,0.4959020613137986
420.0,0.16,36.0,1.0,0.24571428571428572,0.4956957592256421
421.0,0.16,36.0,1.0,0.2455106888361045,0.49549035191021074
422.0,0.16,36.0,1.0,0.24530805687203794,0.49528583350630767
423.0,0.16,36.0,1.0,0.2451063829787234,0.49508219820422084
424.0,0.16,36.0,1.0,0.2449056603773585,0.49487944024515557
425.0,0.16,36.0,1.0,0.24470588235294116,0.4946775539206738
426.0,0.16,36.0,1.0,0.24450704225352113,0.49447653357214144
427.0,0.16,36.0,1.0,0.24430913348946137,0.4942763735901822
428.0,0.16,36.0,1.0,0.24411214953271027,0.4940770684141395
429.0,0.16,36.0,1.0,0.24391608391608394,0.49387861253154497
430.0,0.16,36.0,1.0,0.24372093023255814,0.493681000477594
431.0,0.16,36.0,1.0,0.24352668213457077,0.49348422683462817
432.0,0.16,36.0,1.0,0.24333333333333335,0.49328828623162474
433.0,0.16,36.0,1.0,0.24314087759815242,0.4930931733436921
434.0,0.16,36.0,1.0,0.24294930875576037,0.4928988828915728
435.0,0.16,36.0,1.0,0.24275862068965517,0.4927054096411518
436.0,0.16,36.0,1.0,0.24256880733944955,0.4925127484029724
437.0,0.16,36.0,1.0,0.24237986270022882,0.49232089403175733
438.0,0.16,36.0,1.0,0.2421917808219178,0.4921298414259369
439.0,0.16,36.0,1.0,0.24200455580865604,0.4919395855271824
440.0,0.16,36.0,1.0,0.24181818181818182,0.4917501213199462
441.0,0.16,36.0,1.0,0.2416326530612245,0.49156144383100725
442.0,0.16,36.0,1.0,0.241447963800905,0.49137354812902273
443.0,0.16,36.0,1.0,0.24126410835214446,0.4911864293240851
444.0,0.16,36.0,1.0,0.2410810810810811,0.4910000825672854
445.0,0.16,36.0,1.0,0.24089887640449437,0.49081450305028107
446.0,0.16,36.0,1.0,0.24071748878923765,0.49062968600487034
447.0,0.16,36.0,1.0,0.24053691275167785,0.49044562670257125
448.0,0.16,36.0,1.0,0.24035714285714288,0.4902623204542063
449.0,0.16,36.0,1.0,0.2401781737193764,0.4900797626094924
450.0,0.16,36.0,1.0,0.24,0.4898979485566356
451.0,0.16,36.0,1.0,0.23982261640798225,0.48971687372193157
452.0,0.16,36.0,1.0,0.23964601769911503,0.4895365335693701
453.0,0.16,36.0,1.0,0.23947019867549668,0.4893569236002457
454.0,0.16,36.0,1.0,0.23929515418502204,0.4891780393527719
455.0,0.16,36.0,1.0,0.23912087912087912,0.4889998764017013
456.0,0.16,36.0,1.0,0.23894736842105263,0.48882243035794976
457.0,0.16,36.0,1.0,0.2387746170678337,0.48864569686822545
458.0,0.16,36.0,1.0,0.23860262008733624,0.48846967161466254
459.0,0.16,36.0,1.0,0.2384313725490196,0.488294350314459
460.0,0.16,36.0,1.0,0.23826086956521741,0.4881197287195196
461.0,0.16,36.0,1.0,0.23809110629067246,0.4879458026161025
462.0,0.16,36.0,1.0,0.23792207792207792,0.48777256782447076
463.0,0.16,36.0,1.0,0.23775377969762418,0.48760002019854776
464.0,0.16,36.0,1.0,0.23758620689655174,0.487428155625577
465.0,0.16,36.0,1.0,0.23741935483870968,0.48725697002578594
466.0,0.16,36.0,1.0,0.23725321888412018,0.487086459352054
467.0,0.16,36.0,1.0,0.23708779443254818,0.48691661958958454
468.0,0.16,36.0,1.0,0.23692307692307693,0.48674744675558074
469.0,0.16,36.0,1.0,0.23675906183368872,0.48657893689892573
470.0,0.16,36.0,1.0,0.23659574468085107,0.48641108609986583
471.0,0.16,36.0,1.0,0.2364331210191083,0.4862438904696986
472.0,0.16,36.0,1.0,0.23627118644067796,0.48607734615046394
473.0,0.16,36.0,1.0,0.23610993657505286,0.48591144931463887
474.0,0.16,36.0,1.0,0.2359493670886076,0.4857461961648363
475.0,0.16,36.0,1.0,0.23578947368421055,0.4855815829335072
476.0,0.16,36.0,1.0,0.23563025210084032,0.4854176058826465
477.0,0.16,36.0,1.0,0.23547169811320756,0.4852542613035022
478.0,0.16,36.0,1.0,0.23531380753138076,0.48509154551628786
479.0,0.16,36.0,1.0,0.23515657620041752,0.48492945486989913
480.0,0.16,36.0,1.0,0.235,0.4847679857416329
481.0,0.16,36.0,1.0,0.23484407484407485,0.48460713453691007
482.0,0.16,36.0,1.0,0.2346887966804979,0.4844468976890015
483.0,0.16,36.0,1.0,0.23453416149068324,0.48428727165875757
484.0,0.16,36.0,1.0,0.2343801652892562,0.4841282529343399
485.0,0.16,36.0,1.0,0.23422680412371133,0.4839698380309576
486.0,0.16,36.0,1.0,0.23407407407407407,0.48381202349060537
487.0,0.16,36.0,1.0,0.23392197125256675,0.48365480588180526
488.0,0.16,36.0,1.0,0.2337704918032787,0.48349818179935145
489.0,0.16,36.0,1.0,0.23361963190184049,0.48334214786405755
490.0,0.16,36.0,1.0,0.23346938775510206,0.4831867007225075
491.0,0.16,36.0,1.0,0.23331975560081467,0.48303183704680863
492.0,0.16,36.0,1.0,0.23317073170731706,0.4828775535343479
493.0,0.16,36.0,1.0,0.23302231237322515,0.48272384690755143
494.0,0.16,36.0,1.0,0.2328744939271255,0.48257071391364553
495.0,0.16,36.0,1.0,0.23272727272727273,0.4824181513244218
496.0,0.16,36.0,1.0,0.23258064516129034,0.48226615593600425
497.0,0.16,36.0,1.0,0.23243460764587526,0.48211472456861887
498.0,0.16,36.0,1.0,0.232289156626506,0.4819638540663667
499.0,0.16,36.0,1.0,0.2321442885771543,0.4818135412969983
500.0,0.16,36.0,1.0,0.23199999999999998,0.4816637831516918
501.0,0.16,36.0,1.0,0.2318562874251497,0.4815145765448328
502.0,0.16,36.0,1.0,0.2317131474103586,0.48136591841379733
503.0,0.16,36.0,1.0,0.23157057654075547,0.48121780571873635
504.0,0.16,36.0,1.0,0.23142857142857143,0.4810702354423639
505.0,0.16,36.0,1.0,0.23128712871287127,0.4809232045897466
506.0,0.16,36.0,1.0,0.23114624505928855,0.4807767101880961
507.0,0.16,36.0,1.0,0.23100591715976332,0.48063074928656335
508.0,0.16,36.0,1.0,0.23086614173228348,0.4804853189560358
509.0,0.16,36.0,1.0,0.23072691552062868,0.48034041628893637
510.0,0.16,36.0,1.0,0.23058823529411765,0.48019603839902475
511.0,0.16,36.0,1.0,0.23045009784735812,0.48005218242120107
512.0,0.16,36.0,1.0,0.2303125,0.4799088455113117
513.0,0.16,36.0,1.0,0.23017543859649123,0.47976602484595676
514.0,0.16,36.0,1.0,0.23003891050583658,0.4796237176223008
515.0,0.16,36.0,1.0,0.22990291262135923,0.47948192105788434
516.0,0.16,36.0,1.0,0.2297674418604651,0.4793406323904381
517.0,0.16,36.0,1.0,0.22963249516441006,0.4791998488776995
518.0,0.16,36.0,1.0,0.2294980694980695,0.47905956779723075
519.0,0.16,36.0,1.0,0.22936416184971098,0.4789197864462388
520.0,0.16,36.0,1.0,0.22923076923076924,0.478780502141398
521.0,0.16,36.0,1.0,0.2290978886756238,0.47864171221867385
522.0,0.16,36.0,1.0,0.2289655172413793,0.4785034140331491
523.0,0.16,36.0,1.0,0.2288336520076482,0.4783656049588517
524.0,0.16,36.0,1.0,0.22870229007633588,0.47822828238858467
525.0,0.16,36.0,1.0,0.2285714285714286,0.4780914437337575
526.0,0.16,36.0,1.0,0.22844106463878328,0.47795508642421963
527.0,0.16,36.0,1.0,0.22831119544592032,0.47781920790809607
528.0,0.16,36.0,1.0,0.22818181818181818,0.47768380565162366
529.0,0.16,36.0,1.0,0.2280529300567108,0.47754887713899064
530.0,0.16,36.0,1.0,0.2279245283018868,0.4774144198721765
531.0,0.16,36.0,1.0,0.22779661016949154,0.47728043137079434
532.0,0.16,36.0,1.0,0.22766917293233083,0.47714690917193503
533.0,0.16,36.0,1.0,0.2275422138836773,0.47701385083001235
534.0,0.16,36.0,1.0,0.22741573033707865,0.4768812539166104
535.0,0.16,36.0,1.0,0.22728971962616823,0.47674911602033226
536.0,0.16,36.0,1.0,0.22716417910447761,0.47661743474665047
537.0,0.16,36.0,1.0,0.2270391061452514,0.476486207717759
538.0,0.16,36.0,1.0,0.22691449814126394,0.4763554325724269
539.0,0.16,36.0,1.0,0.22679035250463822,0.4762251069658531
540.0,0.16,36.0,1.0,0.22666666666666668,0.47609522856952335
541.0,0.16,36.0,1.0,0.226543438077634,0.4759657950710681
542.0,0.16,36.0,1.0,0.22642066420664209,0.4758368041741224
543.0,0.16,36.0,1.0,0.22629834254143646,0.47570825359818647
544.0,0.16,36.0,1.0,0.2261764705882353,0.4755801410784888
545.0,0.16,36.0,1.0,0.22605504587155964,0.47545246436584976
546.0,0.16,36.0,1.0,0.22593406593406595,0.47532522122654713
547.0,0.16,36.0,1.0,0.22581352833638024,0.4751984094421826
548.0,0.16,36.0,1.0,0.2256934306569343,0.4750720268095506
549.0,0.16,36.0,1.0,0.22557377049180327,0.47494607114050674
550.0,0.16,36.0,1.0,0.22545454545454546,0.47482054026183984
551.0,0.16,36.0,1.0,0.22533575317604354,0.4746954320151433
552.0,0.16,36.0,1.0,0.2252173913043478,0.4745707442566891
553.0,0.16,36.0,1.0,0.22509945750452082,0.47444647485730235
554.0,0.16,36.0,1.0,0.22498194945848377,0.4743226217022374
555.0,0.16,36.0,1.0,0.22486486486486487,0.4741991826910553
556.0,0.16,36.0,1.0,0.22474820143884894,0.4740761557375027
557.0,0.16,36.0,1.0,0.22463195691202872,0.4739535387693911
558.0,0.16,36.0,1.0,0.22451612903225807,0.47383132972847847
559.0,0.16,36.0,1.0,0.22440071556350627,0.4737095265703512
560.0,0.16,36.0,1.0,0.22428571428571428,0.4735881272643079
561.0,0.16,36.0,1.0,0.22417112299465242,0.47346712979324385
562.0,0.16,36.0,1.0,0.22405693950177935,0.4733465321535369
563.0,0.16,36.0,1.0,0.22394316163410302,0.4732263323549346
564.0,0.16,36.0,1.0,0.22382978723404257,0.4731065284204421
565.0,0.16,36.0,1.0,0.22371681415929204,0.4729871183862115
566.0,0.16,36.0,1.0,0.2236042402826855,0.47286810030143234
567.0,0.16,36.0,1.0,0.2234920634920635,0.4727494722282231
568.0,0.16,36.0,1.0,0.22338028169014085,0.4726312322415234
569.0,0.16,36.0,1.0,0.22326889279437612,0.4725133784289881
570.0,0.16,36.0,1.0,0.2231578947368421,0.4723959088908816
571.0,0.16,36.0,1.0,0.22304728546409808,0.47227882173997393
572.0,0.16,36.0,1.0,0.22293706293706295,0.4721621151014373
573.0,0.16,36.0,1.0,0.22282722513089004,0.47204578711274403
574.0,0.16,36.0,1.0,0.22271777003484322,0.47192983592356524
575.0,0.16,36.0,1.0,0.22260869565217392,0.4718142596956708
576.0,0.16,36.0,1.0,0.2225,0.4716990566028302
577.0,0.16,36.0,1.0,0.22239168110918545,0.47158422483071405
578.0,0.16,36.0,1.0,0.22228373702422144,0.4714697625767971
579.0,0.16,36.0,1.0,0.2221761658031088,0.471355668050262
580.0,0.16,36.0,1.0,0.22206896551724137,0.47124193947190374
581.0,0.16,36.0,1.0,0.22196213425129088,0.47112857507403527
582.0,0.16,36.0,1.0,0.2218556701030928,0.4710155731003942
583.0,0.16,36.0,1.0,0.22174957118353344,0.4709029318060501
584.0,0.16,36.0,1.0,0.22164383561643836,0.47079064945731275
585.0,0.16,36.0,1.0,0.22153846153846155,0.4706787243316417
586.0,0.16,36.0,1.0,0.2214334470989761,0.47056715471755584
587.0,0.16,36.0,1.0,0.22132879045996592,0.4704559389145448
588.0,0.16,36.0,1.0,0.22122448979591836,0.4703450752329808
589.0,0.16,36.0,1.0,0.22112054329371816,0.47023456199403096
590.0,0.16,36.0,1.0,0.22101694915254239,0.4701243975295713
591.0,0.16,36.0,1.0,0.22091370558375634,0.4700145801821007
592.0,0.16,36.0,1.0,0.22081081081081083,0.46990510830465637
593.0,0.16,36.0,1.0,0.22070826306913996,0.4697959802607297
594.0,0.16,36.0,1.0,0.2206060606060606,0.46968719442418333
595.0,0.16,36.0,1.0,0.22050420168067228,0.4695787491791683
596.0,0.16,36.0,1.0,0.2204026845637584,0.46947064292004287
597.0,0.16,36.0,1.0,0.22030150753768846,0.4693628740512914
598.0,0.16,36.0,1.0,0.22020066889632106,0.46925544098744454
599.0,0.16,36.0,1.0,0.2201001669449082,0.46914834215299983
600.0,0.16,36.0,1.0,0.22,0.469041575982343
601.0,0.16,36.0,1.0,0.2199001663893511,0.46893514091967037
602.0,0.16,36.0,1.0,0.21980066445182725,0.4688290354189118
603.0,0.16,36.0,1.0,0.21970149253731344,0.46872325794365427
604.0,0.16,36.0,1.0,0.21960264900662252,0.4686178069670662
605.0,0.16,36.0,1.0,0.21950413223140497,0.46851268097182275
606.0,0.16,36.0,1.0,0.2194059405940594,0.4684078784500314
607.0,0.16,36.0,1.0,0.21930807248764417,0.46830339790315867
608.0,0.16,36.0,1.0,0.21921052631578947,0.46819923784195705
609.0,0.16,36.0,1.0,0.21911330049261085,0.46809539678639317
610.0,0.16,36.0,1.0,0.21901639344262297,0.467991873265576
611.0,0.16,36.0,1.0,0.21891980360065466,0.46788866581768646
612.0,0.16,36.0,1.0,0.2188235294117647,0.46778577298990687
613.0,0.16,36.0,1.0,0.21872756933115825,0.4676831933383519
614.0,0.16,36.0,1.0,0.21863192182410424,0.4675809254279993
615.0,0.16,36.0,1.0,0.21853658536585366,0.46747896783262205
616.0,0.16,36.0,1.0,0.21844155844155844,0.4673773191347206
617.0,0.16,36.0,1.0,0.21834683954619125,0.467275977925456
618.0,0.16,36.0,1.0,0.21825242718446602,0.46717494280458366
619.0,0.16,36.0,1.0,0.2181583198707593,0.46707421238038743
620.0,0.16,36.0,1.0,0.21806451612903227,0.46697378526961475
621.0,0.16,36.0,1.0,0.21797101449275363,0.4668736600974118
622.0,0.16,36.0,1.0,0.21787781350482316,0.46677383549726004
623.0,0.16,36.0,1.0,0.21778491171749598,0.4666743101109123
624.0,0.16,36.0,1.0,0.21769230769230768,0.4665750825883308
625.0,0.16,36.0,1.0,0.21760000000000002,0.46647615158762407
626.0,0.16,36.0,1.0,0.21750798722044729,0.466377515774986
627.0,0.16,36.0,1.0,0.21741626794258373,0.4662791738246345
628.0,0.16,36.0,1.0,0.21732484076433123,0.46618112441875126
629.0,0.16,36.0,1.0,0.21723370429252783,0.46608336624742125
630.0,0.16,36.0,1.0,0.21714285714285714,0.465985898008574
631.0,0.16,36.0,1.0,0.21705229793977815,0.4658887184079243
632.0,0.16,36.0,1.0,0.2169620253164557,0.46579182615891374
633.0,0.16,36.0,1.0,0.21687203791469195,0.4656952199826534
634.0,0.16,36.0,1.0,0.21678233438485806,0.4655988986078662
635.0,0.16,36.0,1.0,0.21669291338582677,0.46550286077083003
636.0,0.16,36.0,1.0,0.21660377358490568,0.46540710521532186
637.0,0.16,36.0,1.0,0.2165149136577708,0.4653116306925616
638.0,0.16,36.0,1.0,0.21642633228840125,0.46521643596115697
639.0,0.16,36.0,1.0,0.2163380281690141,0.46512151978704885
640.0,0.16,36.0,1.0,0.21625,0.46502688094345684
641.0,0.16,36.0,1.0,0.2161622464898596,0.46493251821082554
642.0,0.16,36.0,1.0,0.2160747663551402,0.46483843037677103
643.0,0.16,36.0,1.0,0.21598755832037325,0.4647446162360283
644.0,0.16,36.0,1.0,0.21590062111801242,0.4646510745903989
645.0,0.16,36.0,1.0,0.2158139534883721,0.4645578042486985
646.0,0.16,36.0,1.0,0.21572755417956657,0.4644648040267062
647.0,0.16,36.0,1.0,0.21564142194744979,0.4643720727471128
648.0,0.16,36.0,1.0,0.21555555555555556,0.46427960923947065
649.0,0.16,36.0,1.0,0.21546995377503853,0.4641874123401436
650.0,0.16,36.0,1.0,0.2153846153846154,0.4640954808922571
651.0,0.16,36.0,1.0,0.21529953917050693,0.464003813745649
652.0,0.16,36.0,1.0,0.21521472392638036,0.46391240975682074
653.0,0.16,36.0,1.0,0.2151301684532925,0.4638212677888892
654.0,0.16,36.0,1.0,0.21504587155963303,0.4637303867115385
655.0,0.16,36.0,1.0,0.2149618320610687,0.46363976540097235
656.0,0.16,36.0,1.0,0.2148780487804878,0.4635494027398674
657.0,0.16,36.0,1.0,0.2147945205479452,0.46345929761732607
658.0,0.16,36.0,1.0,0.2147112462006079,0.46336944892883036
659.0,0.16,36.0,1.0,0.21462822458270106,0.46327985557619605
660.0,0.16,36.0,1.0,0.21454545454545454,0.4631905164675271
661.0,0.16,36.0,1.0,0.21446293494704993,0.46310143051717073
662.0,0.16,36.0,1.0,0.21438066465256797,0.46301259664567224
663.0,0.16,36.0,1.0,0.21429864253393666,0.4629240137797311
664.0,0.16,36.0,1.0,0.21421686746987953,0.46283568085215676
665.0,0.16,36.0,1.0,0.21413533834586468,0.4627475968018253
666.0,0.16,36.0,1.0,0.21405405405405406,0.46265976057363584
667.0,0.16,36.0,1.0,0.21397301349325337,0.46257217111846816
668.0,0.16,36.0,1.0,0.2138922155688623,0.4624848273931398
669.0,0.16,36.0,1.0,0.21381165919282513,0.4623977283603642
670.0,0.16,36.0,1.0,0.2137313432835821,0.4623108729887089
671.0,0.16,36.0,1.0,0.21365126676602086,0.4622242602525541
672.0,0.16,36.0,1.0,0.21357142857142858,0.4621378891320518
673.0,0.16,36.0,1.0,0.2134918276374443,0.4620517586130847
674.0,0.16,36.0,1.0,0.21341246290801186,0.4619658676872263
675.0,0.16,36.0,1.0,0.21333333333333335,0.46188021535170065
676.0,0.16,36.0,1.0,0.21325443786982248,0.4617948006093426
677.0,0.16,36.0,1.0,0.2131757754800591,0.4617096224685588
678.0,0.16,36.0,1.0,0.21309734513274337,0.4616246799432883
679.0,0.16,36.0,1.0,0.21301914580265097,0.4615399720529642
680.0,0.16,36.0,1.0,0.21294117647058824,0.461455497822475
681.0,0.16,36.0,1.0,0.21286343612334802,0.4613712562821269
682.0,0.16,36.0,1.0,0.2127859237536657,0.4612872464676058
683.0,0.16,36.0,1.0,0.2127086383601757,0.46120346741994006
684.0,0.16,36.0,1.0,0.21263157894736842,0.4611199181854634
685.0,0.16,36.0,1.0,0.21255474452554746,0.46103659781577805
686.0,0.16,36.0,1.0,0.21247813411078717,0.4609535053677184
687.0,0.16,36.0,1.0,0.21240174672489082,0.4608706399033147
688.0,0.16,36.0,1.0,0.21232558139534885,0.4607880004897576
689.0,0.16,36.0,1.0,0.21224963715529754,0.46070558619936175
690.0,0.16,36.0,1.0,0.21217391304347827,0.4606233961095314
691.0,0.16,36.0,1.0,0.21209840810419683,0.46054142930272496
692.0,0.16,36.0,1.0,0.21202312138728324,0.46045968486642047
693.0,0.16,36.0,1.0,0.21194805194805194,0.46037816189308106
694.0,0.16,36.0,1.0,0.21187319884726225,0.460296859480121
695.0,0.16,36.0,1.0,0.21179856115107915,0.46021577672987174
696.0,0.16,36.0,1.0,0.21172413793103448,0.4601349127495484
697.0,0.16,36.0,1.0,0.21164992826398854,0.4600542666512164
698.0,0.16,36.0,1.0,0.2115759312320917,0.4599738375517587
699.0,0.16,36.0,1.0,0.2115021459227468,0.4598936245728427
700.0,0.16,36.0,1.0,0.21142857142857144,0.45981362684088806
701.0,0.16,36.0,1.0,0.21135520684736092,0.4597338434870343
702.0,0.16,36.0,1.0,0.2112820512820513,0.4596542736471089
703.0,0.16,36.0,1.0,0.21120910384068278,0.4595749164615958
704.0,0.16,36.0,1.0,0.21113636363636365,0.45949577107560374
705.0,0.16,36.0,1.0,0.21106382978723404,0.45941683663883504
706.0,0.16,36.0,1.0,0.21099150141643058,0.45933811230555494
707.0,0.16,36.0,1.0,0.21091937765205093,0.4592595972345607
708.0,0.16,36.0,1.0,0.21084745762711865,0.45918129058915136
709.0,0.16,36.0,1.0,0.21077574047954867,0.45910319153709733
710.0,0.16,36.0,1.0,0.2107042253521127,0.4590252992506107
711.0,0.16,36.0,1.0,0.21063291139240506,0.4589476129063153
712.0,0.16,36.0,1.0,0.21056179775280898,0.4588701316852176
713.0,0.16,36.0,1.0,0.21049088359046284,0.45879285477267717
714.0,0.16,36.0,1.0,0.2104201680672269,0.45871578135837765
715.0,0.16,36.0,1.0,0.21034965034965036,0.45863891063629825
716.0,0.16,36.0,1.0,0.21027932960893855,0.4585622418046852
717.0,0.16,36.0,1.0,0.2102092050209205,0.45848577406602326
718.0,0.16,36.0,1.0,0.2101392757660167,0.4584095066270078
719.0,0.16,36.0,1.0,0.21006954102920722,0.45833343869851695
720.0,0.16,36.0,1.0,0.21000000000000002,0.45825756949558405
721.0,0.16,36.0,1.0,0.20993065187239945,0.45818189823736977
722.0,0.16,36.0,1.0,0.20986149584487535,0.45810642414713565
723.0,0.16,36.0,1.0,0.20979253112033194,0.45803114645221665
724.0,0.16,36.0,1.0,0.20972375690607736,0.45795606438399455
725.0,0.16,36.0,1.0,0.2096551724137931,0.45788117717787125
726.0,0.16,36.0,1.0,0.20958677685950414,0.4578064840732426
727.0,0.16,36.0,1.0,0.20951856946354883,0.4577319843134723
728.0,0.16,36.0,1.0,0.20945054945054944,0.4576576771458657
729.0,0.16,36.0,1.0,0.20938271604938272,0.45758356182164445
730.0,0.16,36.0,1.0,0.20931506849315068,0.45750963759592067
731.0,0.16,36.0,1.0,0.20924760601915185,0.45743590372767184
732.0,0.16,36.0,1.0,0.20918032786885246,0.45736235947971543
733.0,0.16,36.0,1.0,0.20911323328785814,0.4572890041186844
734.0,0.16,36.0,1.0,0.20904632152588556,0.45721583691500184
735.0,0.16,36.0,1.0,0.2089795918367347,0.45714285714285713
736.0,0.16,36.0,1.0,0.20891304347826087,0.45707006408018114
737.0,0.16,36.0,1.0,0.20884667571234736,0.45699745700862204
738.0,0.16,36.0,1.0,0.20878048780487807,0.45692503521352174
739.0,0.16,36.0,1.0,0.20871447902571041,0.45685279798389156
740.0,0.16,36.0,1.0,0.20864864864864865,0.4567807446123891
741.0,0.16,36.0,1.0,0.208582995951417,0.4567088743952946
742.0,0.16,36.0,1.0,0.2085175202156334,0.4566371866324877
743.0,0.16,36.0,1.0,0.20845222072678332,0.4565656806274244
744.0,0.16,36.0,1.0,0.20838709677419354,0.4564943556871142
745.0,0.16,36.0,1.0,0.2083221476510067,0.45642321112209744
746.0,0.16,36.0,1.0,0.2082573726541555,0.45635224624642257
747.0,0.16,36.0,1.0,0.20819277108433737,0.4562814603776241
748.0,0.16,36.0,1.0,0.2081283422459893,0.45621085283670015
749.0,0.16,36.0,1.0,0.20806408544726301,0.45614042294809065
750.0,0.16,36.0,1.0,0.20800000000000002,0.4560701700396552
751.0,0.16,36.0,1.0,0.20793608521970705,0.4560000934426517
752.0,0.16,36.0,1.0,0.20787234042553193,0.4559301924917146
753.0,0.16,36.0,1.0,0.20780876494023903,0.4558604665248337
754.0,0.16,36.0,1.0,0.20774535809018568,0.45579091488333295
755.0,0.16,36.0,1.0,0.20768211920529803,0.4557215369118493
756.0,0.16,36.0,1.0,0.20761904761904762,0.45565233195831184
757.0,0.16,36.0,1.0,0.207556142668428,0.4555832993739213
758.0,0.16,36.0,1.0,0.2074934036939314,0.4555144385131292
759.0,0.16,36.0,1.0,0.2074308300395257,0.45544574873361776
760.0,0.16,36.0,1.0,0.2073684210526316,0.45537722939627934
761.0,0.16,36.0,1.0,0.20730617608409987,0.4553088798651964
762.0,0.16,36.0,1.0,0.20724409448818898,0.45524069950762197
763.0,0.16,36.0,1.0,0.2071821756225426,0.4551726876939593
764.0,0.16,36.0,1.0,0.20712041884816754,0.4551048437977424
765.0,0.16,36.0,1.0,0.20705882352941177,0.4550371671956169
766.0,0.16,36.0,1.0,0.20699738903394255,0.4549696572673199
767.0,0.16,36.0,1.0,0.2069361147327249,0.4549023133956618
768.0,0.16,36.0,1.0,0.206875,0.4548351349665063
769.0,0.16,36.0,1.0,0.206814044213264,0.45476812136875205
770.0,0.16,36.0,1.0,0.20675324675324674,0.4547012719943136
771.0,0.16,36.0,1.0,0.20669260700389105,0.45463458623810293
772.0,0.16,36.0,1.0,0.2066321243523316,0.4545680634980108
773.0,0.16,36.0,1.0,0.20657179818887453,0.4545017031748886
774.0,0.16,36.0,1.0,0.20651162790697675,0.4544355046725297
775.0,0.16,36.0,1.0,0.2064516129032258,0.4543694673976518
776.0,0.16,36.0,1.0,0.2063917525773196,0.454303590759879
777.0,0.16,36.0,1.0,0.20633204633204633,0.4542378741717233
778.0,0.16,36.0,1.0,0.20627249357326477,0.45417231704856775
779.0,0.16,36.0,1.0,0.20621309370988447,0.4541069188086485
780.0,0.16,36.0,1.0,0.20615384615384616,0.4540416788730371
781.0,0.16,36.0,1.0,0.20609475032010244,0.4539765966656238
782.0,0.16,36.0,1.0,0.20603580562659846,0.4539116716130997
783.0,0.16,36.0,1.0,0.20597701149425288,0.45384690314494036
784.0,0.16,36.0,1.0,0.20591836734693877,0.4537822906933883
785.0,0.16,36.0,1.0,0.20585987261146496,0.45371783369343655
786.0,0.16,36.0,1.0,0.20580152671755725,0.45365353158281185
787.0,0.16,36.0,1.0,0.2057433290978399,0.45358938380195796
788.0,0.16,36.0,1.0,0.20568527918781726,0.4535253897940194
789.0,0.16,36.0,1.0,0.20562737642585552,0.4534615490048252
790.0,0.16,36.0,1.0,0.20556962025316455,0.4533978608828724
791.0,0.16,36.0,1.0,0.20551201011378004,0.4533343248793103
792.0,0.16,36.0,1.0,0.20545454545454545,0.453270940447924
793.0,0.16,36.0,1.0,0.20539722572509458,0.4532077070451192
794.0,0.16,36.0,1.0,0.20534005037783376,0.45314462412990597
795.0,0.16,36.0,1.0,0.20528301886792452,0.4530816911638833
796.0,0.16,36.0,1.0,0.20522613065326634,0.4530189076112236
797.0,0.16,36.0,1.0,0.2051693851944793,0.4529562729386572
798.0,0.16,36.0,1.0,0.20511278195488722,0.45289378661545715
799.0,0.16,36.0,1.0,0.20505632040050062,0.452831448113424
800.0,0.16,36.0,1.0,0.20500000000000002,0.45276925690687087
801.0,0.16,36.0,1.0,0.2049438202247191,0.4527072124726081
802.0,0.16,36.0,1.0,0.20488778054862844,0.4526453142899288
803.0,0.16,36.0,1.0,0.2048318804483188,0.452583561840594
804.0,0.16,36.0,1.0,0.20477611940298507,0.45252195460881794
805.0,0.16,36.0,1.0,0.20472049689440994,0.4524604920812534
806.0,0.16,36.0,1.0,0.2046650124069479,0.45239917374697747
807.0,0.16,36.0,1.0,0.2046096654275093,0.45233799909747724
808.0,0.16,36.0,1.0,0.20455445544554457,0.4522769676266354
809.0,0.16,36.0,1.0,0.20449938195302844,0.45221607883071613
810.0,0.16,36.0,1.0,0.20444444444444446,0.45215533220835125
811.0,0.16,36.0,1.0,0.20438964241676943,0.4520947272605261
812.0,0.16,36.0,1.0,0.20433497536945813,0.45203426349056564
813.0,0.16,36.0,1.0,0.20428044280442803,0.45197394040412114
814.0,0.16,36.0,1.0,0.20422604422604423,0.45191375750915597
815.0,0.16,36.0,1.0,0.2041717791411043,0.45185371431593246
