ESS_mg,sigma_floor_variance_mg_g_sq,k,b,observed_variance_mg_g_sq,observed_sd_mg_g
102.0,0.16,36.0,1.0,0.5129411764705882,0.7161991178929141
103.0,0.16,36.0,1.0,0.5095145631067961,0.7138028881328486
104.0,0.16,36.0,1.0,0.5061538461538462,0.7114449002936533
105.0,0.16,36.0,1.0,0.5028571428571429,0.7091242083423347
106.0,0.16,36.0,1.0,0.4996226415094339,0.7068398980741211
107.0,0.16,36.0,1.0,0.4964485981308411,0.7045910857588542
108.0,0.16,36.0,1.0,0.4933333333333333,0.7023769168568492
109.0,0.16,36.0,1.0,0.4902752293577982,0.7001965648000554
110.0,0.16,36.0,1.0,0.4872727272727273,0.6980492298346351
111.0,0.16,36.0,1.0,0.4843243243243244,0.6959341379213441
112.0,0.16,36.0,1.0,0.48142857142857143,0.6938505396903366
113.0,0.16,36.0,1.0,0.47858407079646015,0.6917977094472488
114.0,0.16,36.0,1.0,0.47578947368421054,0.6897749442276159
115.0,0.16,36.0,1.0,0.47304347826086957,0.6877815628968761
116.0,0.16,36.0,1.0,0.4703448275862069,0.6858169052933931
117.0,0.16,36.0,1.0,0.46769230769230774,0.6838803314120883
118.0,0.16,36.0,1.0,0.46508474576271186,0.6819712206264366
119.0,0.16,36.0,1.0,0.4625210084033613,0.6800889709467146
120.0,0.16,36.0,1.0,0.45999999999999996,0.6782329983125268
121.0,0.16,36.0,1.0,0.45752066115702483,0.6764027359177555
122.0,0.16,36.0,1.0,0.4550819672131148,0.6745976335661983
123.0,0.16,36.0,1.0,0.45268292682926825,0.6728171570562601
124.0,0.16,36.0,1.0,0.4503225806451613,0.6710607875931668
125.0,0.16,36.0,1.0,0.44799999999999995,0.6693280212272604
126.0,0.16,36.0,1.0,0.44571428571428573,0.6676183683170241
127.0,0.16,36.0,1.0,0.44346456692913383,0.6659313530155596
128.0,0.16,36.0,1.0,0.44125000000000003,0.6642665127793211
129.0,0.16,36.0,1.0,0.43906976744186044,0.6626233978979768
130.0,0.16,36.0,1.0,0.43692307692307697,0.6610015710443334
131.0,0.16,36.0,1.0,0.43480916030534356,0.6594006068433237
132.0,0.16,36.0,1.0,0.43272727272727274,0.6578200914591107
133.0,0.16,36.0,1.0,0.4306766917293233,0.6562596221994184
134.0,0.16,36.0,1.0,0.4286567164179105,0.6547188071362472
135.0,0.16,36.0,1.0,0.42666666666666664,0.6531972647421808
136.0,0.16,36.0,1.0,0.42470588235294116,0.6516946235415335
137.0,0.16,36.0,1.0,0.42277372262773727,0.6502105217756302
138.0,0.16,36.0,1.0,0.4208695652173913,0.6487446070815474
139.0,0.16,36.0,1.0,0.41899280575539566,0.6472965361836842
140.0,0.16,36.0,1.0,0.41714285714285715,0.6458659745975609
141.0,0.16,36.0,1.0,0.41531914893617017,0.6444525963452783
142.0,0.16,36.0,1.0,0.4135211267605634,0.6430560836821027
143.0,0.16,36.0,1.0,0.4117482517482518,0.6416761268336635
144.0,0.16,36.0,1.0,0.41000000000000003,0.6403124237432849
145.0,0.16,36.0,1.0,0.4082758620689655,0.6389646798289914
146.0,0.16,36.0,1.0,0.40657534246575344,0.6376326077497554
147.0,0.16,36.0,1.0,0.40489795918367344,0.636315927180574
148.0,0.16,36.0,1.0,0.40324324324324323,0.6350143645959855
149.0,0.16,36.0,1.0,0.4016107382550336,0.6337276530616551
150.0,0.16,36.0,1.0,0.4,0.6324555320336759
151.0,0.16,36.0,1.0,0.3984105960264901,0.6311977471652526
152.0,0.16,36.0,1.0,0.3968421052631579,0.6299540501204496
153.0,0.16,36.0,1.0,0.3952941176470588,0.6287241983947006
154.0,0.16,36.0,1.0,0.39376623376623376,0.6275079551417924
155.0,0.16,36.0,1.0,0.39225806451612905,0.6263050890070502
156.0,0.16,36.0,1.0,0.39076923076923076,0.6251153739664629
157.0,0.16,36.0,1.0,0.3892993630573248,0.6239385891715024
158.0,0.16,36.0,1.0,0.3878481012658228,0.6227745187993988
159.0,0.16,36.0,1.0,0.3864150943396226,0.621622951908649
160.0,0.16,36.0,1.0,0.385,0.6204836822995429
161.0,0.16,36.0,1.0,0.3836024844720497,0.6193565083795033
162.0,0.16,36.0,1.0,0.38222222222222224,0.6182412330330469
163.0,0.16,36.0,1.0,0.38085889570552145,0.6171376634961777
164.0,0.16,36.0,1.0,0.3795121951219512,0.6160456112350378
165.0,0.16,36.0,1.0,0.3781818181818182,0.6149648918286459
166.0,0.16,36.0,1.0,0.3768674698795181,0.6138953248555636
167.0,0.16,36.0,1.0,0.3755688622754491,0.6128367337843328
168.0,0.16,36.0,1.0,0.3742857142857143,0.6117889458675387
169.0,0.16,36.0,1.0,0.37301775147928995,0.6107517920393603
170.0,0.16,36.0,1.0,0.37176470588235294,0.6097251068164677
171.0,0.16,36.0,1.0,0.3705263157894737,0.6087087282021457
172.0,0.16,36.0,1.0,0.36930232558139536,0.6077024975935144
