rpm,blocked_time_s,effective_time_s,n_refresh
10,0.8488263631567752,0.9511736368432249,3.5858401317539537
11,0.7716603301425229,1.0283396698574772,4.264424144929348
12,0.7073553026306459,1.0926446973693542,4.943008158104744
13,0.6529433562744423,1.1470566437255578,5.621592171280141
14,0.6063045451119822,1.1936954548880179,6.300176184455536
15,0.5658842421045168,1.2341157578954833,6.97876019763093
16,0.5305164769729844,1.2694835230270156,7.657344210806325
17,0.7489644380795074,1.0510355619204925,6.735928223981721
18,0.7073553026306459,1.0926446973693542,7.414512237157116
19,0.6701260761764014,1.1298739238235986,8.093096250332511
20,0.6366197723675814,1.1633802276324188,8.771680263507909
21,0.6063045451119822,1.1936954548880179,9.450264276683303
22,0.5787452476068922,1.2212547523931079,10.128848289858695
23,0.5535824107544186,1.2464175892455813,10.807432303034089
24,0.5305164769729844,1.2694835230270156,11.486016316209488
25,0.5092958178940651,1.290704182105935,12.164600329384884
26,0.6529433562744423,1.1470566437255578,11.243184342560282
27,0.6287602690050186,1.1712397309949814,11.921768355735674
28,0.6063045451119822,1.1936954548880179,12.600352368911071
29,0.5853974918322586,1.2146025081677414,13.278936382086469
30,0.5658842421045168,1.2341157578954833,13.95752039526186
31,0.5476299117140485,1.2523700882859514,14.636104408437253
32,0.5305164769729844,1.2694835230270156,15.31468842161265
33,0.5144402200950152,1.2855597799049847,15.993272434788047
34,0.6241370317329229,1.1758629682670771,15.071856447963441
35,0.6063045451119822,1.1936954548880179,15.750440461138837
