setup,pipe_diameter_cm,pipe_area_cm2,total_rig_height_cm,maintained_fill_fraction,filled_height_cm,probe_height_from_bottom_cm,probe_submergence_cm,probe_is_covered,coverage_factor,nir_spot_diameter_cm,nir_spot_area_cm2,measurement_depth_cm,bulk_density_g_per_cm3,throughput_kg,throughput_time_s,mass_flow_g_s,vol_flow_cm3_s,velocity_source,velocity_cm_s,velocity_mm_s,acquisition_time_s,axial_length_model,axial_sampling_length_cm,advance_dz_cm_per_acq,raw_refresh_fraction_per_acq,refresh_fraction_per_acq,probe_volume_cm3,probe_mass_g_instant,probe_mass_mg_instant,new_mass_g_per_acq,new_mass_mg_per_acq,mass_passed_g_per_acq,mass_passed_mg_per_acq,mass_time_exposure_g_s,mass_time_exposure_mg_s,effective_sample_size_mg
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,0.1,spot_diameter,2.5,0.11199792291651894,0.044799169166607575,0.044799169166607575,0.49087385212340523,0.14726215563702155,147.26215563702155,0.006597222222222222,6.597222222222222,0.16493055555555558,164.93055555555557,0.014726215563702155,14.726215563702155,6.597222222222222
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,0.35789473684210527,spot_diameter,2.5,0.40083467149069935,0.16033386859627974,0.16033386859627974,0.49087385212340523,0.14726215563702155,147.26215563702155,0.02361111111111111,23.61111111111111,0.5902777777777778,590.2777777777778,0.05270435043851298,52.70435043851298,23.61111111111111
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,0.6157894736842106,spot_diameter,2.5,0.6896714200648798,0.27586856802595194,0.27586856802595194,0.49087385212340523,0.14726215563702155,147.26215563702155,0.040625,40.625,1.015625,1015.625,0.0906824853133238,90.68248531332381,40.625
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,0.8736842105263158,spot_diameter,2.5,0.9785081686390602,0.3914032674556241,0.3914032674556241,0.49087385212340523,0.14726215563702155,147.26215563702155,0.057638888888888885,57.638888888888886,1.4409722222222223,1440.9722222222224,0.12866062018813462,128.66062018813463,57.638888888888886
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.1315789473684212,spot_diameter,2.5,1.2673449172132407,0.5069379668852962,0.5069379668852962,0.49087385212340523,0.14726215563702155,147.26215563702155,0.07465277777777778,74.65277777777777,1.8663194444444449,1866.3194444444448,0.16663875506294548,166.63875506294548,74.65277777777777
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.3894736842105266,spot_diameter,2.5,1.5561816657874212,0.6224726663149684,0.6224726663149684,0.49087385212340523,0.14726215563702155,147.26215563702155,0.09166666666666666,91.66666666666666,2.2916666666666674,2291.6666666666674,0.2046168899377563,204.61688993775633,91.66666666666666
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.6473684210526318,spot_diameter,2.5,1.8450184143616015,0.7380073657446407,0.7380073657446407,0.49087385212340523,0.14726215563702155,147.26215563702155,0.10868055555555556,108.68055555555556,2.7170138888888893,2717.013888888889,0.24259502481256712,242.59502481256712,108.68055555555556
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.905263157894737,spot_diameter,2.5,2.133855162935782,0.8535420651743127,0.8535420651743127,0.49087385212340523,0.14726215563702155,147.26215563702155,0.12569444444444444,125.69444444444444,3.1423611111111116,3142.3611111111118,0.28057315968737795,280.57315968737794,125.69444444444444
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,2.1631578947368424,spot_diameter,2.5,2.4226919115099625,0.9690767646039851,0.9690767646039851,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14270833333333335,142.70833333333334,3.567708333333334,3567.708333333334,0.3185512945621888,318.5512945621888,142.70833333333334
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,2.421052631578948,spot_diameter,2.5,2.711528660084143,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,3.9930555555555562,3993.055555555556,0.3565294294369996,356.52942943699964,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,2.678947368421053,spot_diameter,2.5,3.0003654086583236,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,4.418402777777779,4418.402777777778,0.39450756431181044,394.5075643118104,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,2.936842105263158,spot_diameter,2.5,3.289202157232504,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,4.843750000000001,4843.750000000001,0.4324856991866212,432.4856991866212,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,3.1947368421052635,spot_diameter,2.5,3.578038905806684,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,5.269097222222223,5269.0972222222235,0.47046383406143205,470.46383406143207,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,3.452631578947369,spot_diameter,2.5,3.866875654380865,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,5.6944444444444455,5694.444444444445,0.5084419689362429,508.4419689362429,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,3.710526315789474,spot_diameter,2.5,4.155712402955045,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,6.119791666666667,6119.791666666667,0.5464201038110537,546.4201038110537,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,3.9684210526315793,spot_diameter,2.5,4.444549151529225,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,6.545138888888889,6545.13888888889,0.5843982386858645,584.3982386858645,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,4.226315789473684,spot_diameter,2.5,4.733385900103405,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,6.970486111111112,6970.486111111111,0.6223763735606753,622.3763735606753,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,4.484210526315789,spot_diameter,2.5,5.022222648677586,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,7.395833333333333,7395.833333333333,0.660354508435486,660.3545084354861,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,4.742105263157895,spot_diameter,2.5,5.311059397251767,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,7.821180555555556,7821.180555555557,0.698332643310297,698.3326433102969,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,5.0,spot_diameter,2.5,5.599896145825946,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,8.246527777777779,8246.52777777778,0.7363107781851077,736.3107781851077,147.26215563702155
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,10.0,3600.0,2.7777777777777777,9.25925925925926,derived_from_throughput,0.11789255043844099,1.1789255043844098,0.1,spot_diameter,2.5,0.0117892550438441,0.00471570201753764,0.00471570201753764,0.49087385212340523,0.14726215563702155,147.26215563702155,0.0006944444444444445,0.6944444444444444,0.017361111111111115,17.361111111111114,0.014726215563702155,14.726215563702155,0.6944444444444444
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,10.0,3600.0,2.7777777777777777,9.25925925925926,derived_from_throughput,0.11789255043844099,1.1789255043844098,0.35789473684210527,spot_diameter,2.5,0.04219312331481046,0.016877249325924184,0.016877249325924184,0.49087385212340523,0.14726215563702155,147.26215563702155,0.002485380116959064,2.485380116959064,0.06213450292397662,62.13450292397662,0.05270435043851298,52.70435043851298,2.485380116959064
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,10.0,3600.0,2.7777777777777777,9.25925925925926,derived_from_throughput,0.11789255043844099,1.1789255043844098,0.6157894736842106,spot_diameter,2.5,0.07259699158577683,0.02903879663431073,0.02903879663431073,0.49087385212340523,0.14726215563702155,147.26215563702155,0.0042763157894736845,4.276315789473684,0.10690789473684212,106.90789473684212,0.0906824853133238,90.68248531332381,4.276315789473684
