acquisition_time_s,velocity_mm_s,filled_height_cm,probe_height_from_bottom_cm,probe_is_covered,probe_mass_mg_instant,new_mass_mg_per_acq,mass_passed_mg_per_acq,refresh_fraction_per_acq,effective_sample_size_mg
0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,6.597222222222222,164.93055555555557,0.044799169166607575,6.597222222222222
0.35789473684210527,11.199792291651892,40.0,20.0,True,147.26215563702155,23.61111111111111,590.2777777777778,0.16033386859627974,23.61111111111111
0.6157894736842106,11.199792291651892,40.0,20.0,True,147.26215563702155,40.625,1015.625,0.27586856802595194,40.625
0.8736842105263158,11.199792291651892,40.0,20.0,True,147.26215563702155,57.638888888888886,1440.9722222222224,0.3914032674556241,57.638888888888886
1.1315789473684212,11.199792291651892,40.0,20.0,True,147.26215563702155,74.65277777777777,1866.3194444444448,0.5069379668852962,74.65277777777777
1.3894736842105266,11.199792291651892,40.0,20.0,True,147.26215563702155,91.66666666666666,2291.6666666666674,0.6224726663149684,91.66666666666666
1.6473684210526318,11.199792291651892,40.0,20.0,True,147.26215563702155,108.68055555555556,2717.013888888889,0.7380073657446407,108.68055555555556
1.905263157894737,11.199792291651892,40.0,20.0,True,147.26215563702155,125.69444444444444,3142.3611111111118,0.8535420651743127,125.69444444444444
2.1631578947368424,11.199792291651892,40.0,20.0,True,147.26215563702155,142.70833333333334,3567.708333333334,0.9690767646039851,142.70833333333334
2.421052631578948,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,3993.055555555556,1.0,147.26215563702155
2.678947368421053,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,4418.402777777778,1.0,147.26215563702155
2.936842105263158,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,4843.750000000001,1.0,147.26215563702155
3.1947368421052635,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,5269.0972222222235,1.0,147.26215563702155
3.452631578947369,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,5694.444444444445,1.0,147.26215563702155
3.710526315789474,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,6119.791666666667,1.0,147.26215563702155
3.9684210526315793,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,6545.13888888889,1.0,147.26215563702155
4.226315789473684,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,6970.486111111111,1.0,147.26215563702155
4.484210526315789,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,7395.833333333333,1.0,147.26215563702155
4.742105263157895,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,7821.180555555557,1.0,147.26215563702155
5.0,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,8246.52777777778,1.0,147.26215563702155
