rpm,blocked_time_s,effective_time_s,n_refresh
10,0.4244131815783876,0.5755868184216124,2.169911184307752
11,0.38583016507126144,0.6141698349287386,2.5469023027385265
12,0.35367765131532297,0.646322348684677,2.9238934211693017
13,0.32647167813722117,0.6735283218627788,3.3008845396000774
14,0.3031522725559911,0.6968477274440089,3.6778756580308527
15,0.2829421210522584,0.7170578789477415,4.054866776461627
16,0.5305164769729844,0.46948352302701557,2.831857894892403
17,0.4993096253863383,0.5006903746136617,3.2088490133231784
18,0.47157020175376396,0.528429798246236,3.5858401317539528
19,0.4467507174509343,0.5532492825490657,3.962831250184728
20,0.4244131815783876,0.5755868184216124,4.339822368615504
21,0.4042030300746548,0.5957969699253451,4.716813487046279
22,0.38583016507126144,0.6141698349287386,5.093804605477053
23,0.36905494050294574,0.6309450594970543,5.470795723907828
24,0.35367765131532297,0.646322348684677,5.8477868423386035
25,0.33953054526271004,0.66046945473729,6.22477796076938
26,0.32647167813722117,0.6735283218627788,6.601769079200155
27,0.3143801345025093,0.6856198654974908,6.9787601976309315
28,0.3031522725559911,0.6968477274440089,7.355751316061705
29,0.2926987459161293,0.7073012540838707,7.732742434492482
30,0.2829421210522584,0.7170578789477415,8.109733552923254
31,0.4107224337855364,0.5892775662144636,6.88672467135403
32,0.3978873577297383,0.6021126422702616,7.263715789784805
33,0.38583016507126144,0.6141698349287386,7.640706908215582
34,0.3744822190397537,0.6255177809602464,8.017698026646357
35,0.36378272706718934,0.6362172729328106,8.39468914507713
