density_g_cm3,rpm,penetration_depth_mm,probe_diameter_mm,acquisition_time_s,angular_speed_rad_s,tangential_velocity_cm_s,crossing_time_s,blocked_time_s,effective_time_s,optical_mass_per_refresh_mg,n_refresh,effective_sample_mass_proxy_mg
0.4,10,0.5,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,3.926990816987242,2.169911184307752,8.521221294454453
0.4,10,1.0,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,7.853981633974484,2.169911184307752,17.042442588908905
0.4,10,2.0,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,15.707963267948967,2.169911184307752,34.08488517781781
0.4,20,0.5,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,3.926990816987242,4.339822368615504,17.042442588908905
0.4,20,1.0,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,7.853981633974484,4.339822368615504,34.08488517781781
0.4,20,2.0,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,15.707963267948967,4.339822368615504,68.16977035563562
0.4,35,0.5,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,3.926990816987242,8.39468914507713,32.96586718418037
0.4,35,1.0,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,7.853981633974484,8.39468914507713,65.93173436836074
0.4,35,2.0,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,15.707963267948967,8.39468914507713,131.86346873672147
0.5,10,0.5,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,4.908738521234052,2.169911184307752,10.651526618068065
0.5,10,1.0,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,9.817477042468104,2.169911184307752,21.30305323613613
0.5,10,2.0,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,19.634954084936208,2.169911184307752,42.60610647227226
0.5,20,0.5,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,4.908738521234052,4.339822368615504,21.30305323613613
0.5,20,1.0,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,9.817477042468104,4.339822368615504,42.60610647227226
0.5,20,2.0,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,19.634954084936208,4.339822368615504,85.21221294454452
0.5,35,0.5,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,4.908738521234052,8.39468914507713,41.207333980225464
0.5,35,1.0,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,9.817477042468104,8.39468914507713,82.41466796045093
0.5,35,2.0,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,19.634954084936208,8.39468914507713,164.82933592090185
0.6,10,0.5,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,5.890486225480862,2.169911184307752,12.781831941681677
0.6,10,1.0,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,11.780972450961723,2.169911184307752,25.563663883363354
0.6,10,2.0,5.0,1.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.4244131815783876,0.5755868184216124,23.561944901923447,2.169911184307752,51.12732776672671
0.6,20,0.5,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,5.890486225480862,4.339822368615504,25.563663883363354
0.6,20,1.0,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,11.780972450961723,4.339822368615504,51.12732776672671
0.6,20,2.0,5.0,1.0,2.0943951023931953,3.7699111843077517,0.1326291192432461,0.4244131815783876,0.5755868184216124,23.561944901923447,4.339822368615504,102.25465553345342
0.6,35,0.5,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,5.890486225480862,8.39468914507713,49.448800776270545
0.6,35,1.0,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,11.780972450961723,8.39468914507713,98.89760155254109
0.6,35,2.0,5.0,1.0,3.665191429188092,6.5973445725385655,0.07578806813899779,0.36378272706718934,0.6362172729328106,23.561944901923447,8.39468914507713,197.79520310508218
