bulk_density_g_per_cm3,measurement_depth_cm,measurement_depth_mm,velocity_mm_s,probe_mass_mg_instant,new_mass_mg_per_acq,refresh_fraction_per_acq,effective_sample_size_mg
0.4,0.01,0.1,8.39984421873892,19.634954084936208,6.597222222222221,0.3359937687495568,6.597222222222221
0.4,0.02,0.2,8.39984421873892,39.269908169872416,13.194444444444443,0.3359937687495568,13.194444444444443
0.4,0.03,0.3,8.39984421873892,58.90486225480862,19.79166666666666,0.3359937687495568,19.79166666666666
0.4,0.04,0.4,8.39984421873892,78.53981633974483,26.388888888888886,0.3359937687495568,26.388888888888886
0.4,0.05,0.5,8.39984421873892,98.17477042468104,32.986111111111114,0.3359937687495568,32.986111111111114
0.4,0.06,0.6,8.39984421873892,117.80972450961724,39.58333333333332,0.3359937687495568,39.58333333333332
0.4,0.07,0.7000000000000001,8.39984421873892,137.44467859455347,46.18055555555556,0.3359937687495568,46.18055555555556
0.4,0.08,0.8,8.39984421873892,157.07963267948966,52.77777777777777,0.3359937687495568,52.77777777777777
0.4,0.09,0.8999999999999999,8.39984421873892,176.71458676442586,59.37499999999999,0.3359937687495568,59.37499999999999
0.4,0.1,1.0,8.39984421873892,196.34954084936209,65.97222222222223,0.3359937687495568,65.97222222222223
0.4,0.11,1.1,8.39984421873892,215.9844949342983,72.56944444444444,0.3359937687495568,72.56944444444444
0.4,0.12,1.2,8.39984421873892,235.61944901923448,79.16666666666664,0.3359937687495568,79.16666666666664
0.4,0.13,1.3,8.39984421873892,255.25440310417073,85.76388888888889,0.3359937687495568,85.76388888888889
0.4,0.14,1.4000000000000001,8.39984421873892,274.88935718910693,92.36111111111111,0.3359937687495568,92.36111111111111
0.4,0.15,1.5,8.39984421873892,294.52431127404316,98.95833333333333,0.3359937687495568,98.95833333333333
0.4,0.16,1.6,8.39984421873892,314.1592653589793,105.55555555555554,0.3359937687495568,105.55555555555554
0.4,0.17,1.7000000000000002,8.39984421873892,333.79421944391555,112.15277777777779,0.3359937687495568,112.15277777777779
0.4,0.18,1.7999999999999998,8.39984421873892,353.4291735288517,118.74999999999999,0.3359937687495568,118.74999999999999
0.4,0.19,1.9,8.39984421873892,373.064127613788,125.34722222222221,0.3359937687495568,125.34722222222221
0.4,0.2,2.0,8.39984421873892,392.69908169872417,131.94444444444446,0.3359937687495568,131.94444444444446
0.5,0.01,0.1,6.719875374991137,24.543692606170257,6.597222222222222,0.2687950149996455,6.597222222222222
0.5,0.02,0.2,6.719875374991137,49.087385212340514,13.194444444444445,0.2687950149996455,13.194444444444445
0.5,0.03,0.3,6.719875374991137,73.63107781851078,19.791666666666664,0.2687950149996455,19.791666666666664
0.5,0.04,0.4,6.719875374991137,98.17477042468103,26.38888888888889,0.2687950149996455,26.38888888888889
0.5,0.05,0.5,6.719875374991137,122.71846303085131,32.98611111111112,0.2687950149996455,32.98611111111112
0.5,0.06,0.6,6.719875374991137,147.26215563702155,39.58333333333333,0.2687950149996455,39.58333333333333
0.5,0.07,0.7000000000000001,6.719875374991137,171.80584824319183,46.180555555555564,0.2687950149996455,46.180555555555564
0.5,0.08,0.8,6.719875374991137,196.34954084936206,52.77777777777778,0.2687950149996455,52.77777777777778
0.5,0.09,0.8999999999999999,6.719875374991137,220.89323345553234,59.37500000000001,0.2687950149996455,59.37500000000001
0.5,0.1,1.0,6.719875374991137,245.43692606170262,65.97222222222224,0.2687950149996455,65.97222222222224
0.5,0.11,1.1,6.719875374991137,269.9806186678729,72.56944444444446,0.2687950149996455,72.56944444444446
0.5,0.12,1.2,6.719875374991137,294.5243112740431,79.16666666666666,0.2687950149996455,79.16666666666666
0.5,0.13,1.3,6.719875374991137,319.0680038802134,85.7638888888889,0.2687950149996455,85.7638888888889
0.5,0.14,1.4000000000000001,6.719875374991137,343.61169648638366,92.36111111111113,0.2687950149996455,92.36111111111113
0.5,0.15,1.5,6.719875374991137,368.1553890925539,98.95833333333334,0.2687950149996455,98.95833333333334
0.5,0.16,1.6,6.719875374991137,392.6990816987241,105.55555555555556,0.2687950149996455,105.55555555555556
0.5,0.17,1.7000000000000002,6.719875374991137,417.24277430489445,112.1527777777778,0.2687950149996455,112.1527777777778
0.5,0.18,1.7999999999999998,6.719875374991137,441.7864669110647,118.75000000000001,0.2687950149996455,118.75000000000001
0.5,0.19,1.9,6.719875374991137,466.33015951723496,125.34722222222221,0.2687950149996455,125.34722222222221
0.5,0.2,2.0,6.719875374991137,490.87385212340524,131.94444444444449,0.2687950149996455,131.94444444444449
0.6,0.01,0.1,5.599896145825946,29.45243112740431,6.597222222222221,0.22399584583303786,6.597222222222221
0.6,0.02,0.2,5.599896145825946,58.90486225480862,13.194444444444443,0.22399584583303786,13.194444444444443
0.6,0.03,0.3,5.599896145825946,88.35729338221293,19.791666666666664,0.22399584583303786,19.791666666666664
0.6,0.04,0.4,5.599896145825946,117.80972450961724,26.388888888888886,0.22399584583303786,26.388888888888886
0.6,0.05,0.5,5.599896145825946,147.26215563702155,32.98611111111111,0.22399584583303786,32.98611111111111
0.6,0.06,0.6,5.599896145825946,176.71458676442586,39.58333333333333,0.22399584583303786,39.58333333333333
0.6,0.07,0.7000000000000001,5.599896145825946,206.1670178918302,46.18055555555556,0.22399584583303786,46.18055555555556
0.6,0.08,0.8,5.599896145825946,235.61944901923448,52.77777777777777,0.22399584583303786,52.77777777777777
0.6,0.09,0.8999999999999999,5.599896145825946,265.0718801466388,59.37499999999999,0.22399584583303786,59.37499999999999
0.6,0.1,1.0,5.599896145825946,294.5243112740431,65.97222222222221,0.22399584583303786,65.97222222222221
0.6,0.11,1.1,5.599896145825946,323.97674240144744,72.56944444444444,0.22399584583303786,72.56944444444444
0.6,0.12,1.2,5.599896145825946,353.4291735288517,79.16666666666666,0.22399584583303786,79.16666666666666
0.6,0.13,1.3,5.599896145825946,382.88160465625606,85.76388888888887,0.22399584583303786,85.76388888888887
0.6,0.14,1.4000000000000001,5.599896145825946,412.3340357836604,92.36111111111111,0.22399584583303786,92.36111111111111
