bulk_density_g_per_cm3,acquisition_time_s,velocity_mm_s,probe_mass_mg_instant,new_mass_mg_per_acq,mass_passed_mg_per_acq,refresh_fraction_per_acq,effective_sample_size_mg
0.4,1.0,8.39984421873892,196.34954084936209,65.97222222222223,1649.3055555555557,0.3359937687495568,65.97222222222223
0.4,1.2105263157894737,8.39984421873892,196.34954084936209,79.86111111111111,1996.5277777777776,0.4067292990126214,79.86111111111111
0.4,1.4210526315789473,8.39984421873892,196.34954084936209,93.75,2343.75,0.47746482927568595,93.75
0.4,1.631578947368421,8.39984421873892,196.34954084936209,107.6388888888889,2690.972222222222,0.5482003595387506,107.6388888888889
0.4,1.8421052631578947,8.39984421873892,196.34954084936209,121.52777777777777,3038.1944444444443,0.6189358898018151,121.52777777777777
0.4,2.052631578947368,8.39984421873892,196.34954084936209,135.41666666666666,3385.416666666666,0.6896714200648797,135.41666666666666
0.4,2.263157894736842,8.39984421873892,196.34954084936209,149.30555555555554,3732.6388888888887,0.7604069503279443,149.30555555555554
0.4,2.473684210526316,8.39984421873892,196.34954084936209,163.19444444444446,4079.8611111111118,0.8311424805910089,163.19444444444446
0.4,2.6842105263157894,8.39984421873892,196.34954084936209,177.08333333333334,4427.083333333333,0.9018780108540735,177.08333333333334
0.4,2.894736842105263,8.39984421873892,196.34954084936209,190.9722222222222,4774.305555555556,0.972613541117138,190.9722222222222
0.4,3.1052631578947367,8.39984421873892,196.34954084936209,196.34954084936209,5121.527777777777,1.0,196.34954084936209
0.4,3.3157894736842106,8.39984421873892,196.34954084936209,196.34954084936209,5468.75,1.0,196.34954084936209
0.4,3.526315789473684,8.39984421873892,196.34954084936209,196.34954084936209,5815.972222222223,1.0,196.34954084936209
0.4,3.7368421052631575,8.39984421873892,196.34954084936209,196.34954084936209,6163.194444444443,1.0,196.34954084936209
0.4,3.9473684210526314,8.39984421873892,196.34954084936209,196.34954084936209,6510.416666666666,1.0,196.34954084936209
0.4,4.157894736842105,8.39984421873892,196.34954084936209,196.34954084936209,6857.63888888889,1.0,196.34954084936209
0.4,4.368421052631579,8.39984421873892,196.34954084936209,196.34954084936209,7204.86111111111,1.0,196.34954084936209
0.4,4.578947368421052,8.39984421873892,196.34954084936209,196.34954084936209,7552.083333333333,1.0,196.34954084936209
0.4,4.789473684210526,8.39984421873892,196.34954084936209,196.34954084936209,7899.305555555555,1.0,196.34954084936209
0.4,5.0,8.39984421873892,196.34954084936209,196.34954084936209,8246.52777777778,1.0,196.34954084936209
0.5,1.0,6.719875374991137,245.43692606170262,65.97222222222224,1649.3055555555557,0.2687950149996455,65.97222222222224
0.5,1.2105263157894737,6.719875374991137,245.43692606170262,79.86111111111111,1996.5277777777776,0.32538343921009716,79.86111111111111
0.5,1.4210526315789473,6.719875374991137,245.43692606170262,93.75,2343.75,0.3819718634205488,93.75
0.5,1.631578947368421,6.719875374991137,245.43692606170262,107.6388888888889,2690.972222222222,0.43856028763100047,107.6388888888889
0.5,1.8421052631578947,6.719875374991137,245.43692606170262,121.5277777777778,3038.1944444444443,0.4951487118414522,121.5277777777778
0.5,2.052631578947368,6.719875374991137,245.43692606170262,135.41666666666666,3385.416666666666,0.5517371360519038,135.41666666666666
0.5,2.263157894736842,6.719875374991137,245.43692606170262,149.30555555555557,3732.6388888888887,0.6083255602623555,149.30555555555557
0.5,2.473684210526316,6.719875374991137,245.43692606170262,163.19444444444449,4079.8611111111118,0.6649139844728073,163.19444444444449
0.5,2.6842105263157894,6.719875374991137,245.43692606170262,177.08333333333334,4427.083333333333,0.7215024086832589,177.08333333333334
0.5,2.894736842105263,6.719875374991137,245.43692606170262,190.9722222222222,4774.305555555556,0.7780908328937104,190.9722222222222
0.5,3.1052631578947367,6.719875374991137,245.43692606170262,204.86111111111111,5121.527777777777,0.8346792571041621,204.86111111111111
0.5,3.3157894736842106,6.719875374991137,245.43692606170262,218.75000000000003,5468.75,0.891267681314614,218.75000000000003
0.5,3.526315789473684,6.719875374991137,245.43692606170262,232.63888888888889,5815.972222222223,0.9478561055250655,232.63888888888889
0.5,3.7368421052631575,6.719875374991137,245.43692606170262,245.43692606170262,6163.194444444443,1.0,245.43692606170262
0.5,3.9473684210526314,6.719875374991137,245.43692606170262,245.43692606170262,6510.416666666666,1.0,245.43692606170262
0.5,4.157894736842105,6.719875374991137,245.43692606170262,245.43692606170262,6857.63888888889,1.0,245.43692606170262
0.5,4.368421052631579,6.719875374991137,245.43692606170262,245.43692606170262,7204.86111111111,1.0,245.43692606170262
0.5,4.578947368421052,6.719875374991137,245.43692606170262,245.43692606170262,7552.083333333333,1.0,245.43692606170262
0.5,4.789473684210526,6.719875374991137,245.43692606170262,245.43692606170262,7899.305555555555,1.0,245.43692606170262
0.5,5.0,6.719875374991137,245.43692606170262,245.43692606170262,8246.52777777778,1.0,245.43692606170262
0.6,1.0,5.599896145825946,294.5243112740431,65.97222222222221,1649.3055555555557,0.22399584583303786,65.97222222222221
0.6,1.2105263157894737,5.599896145825946,294.5243112740431,79.8611111111111,1996.5277777777776,0.27115286600841426,79.8611111111111
0.6,1.4210526315789473,5.599896145825946,294.5243112740431,93.74999999999999,2343.75,0.31830988618379064,93.74999999999999
0.6,1.631578947368421,5.599896145825946,294.5243112740431,107.63888888888887,2690.972222222222,0.365466906359167,107.63888888888887
0.6,1.8421052631578947,5.599896145825946,294.5243112740431,121.52777777777776,3038.1944444444443,0.41262392653454344,121.52777777777776
0.6,2.052631578947368,5.599896145825946,294.5243112740431,135.41666666666663,3385.416666666666,0.45978094670991976,135.41666666666663
0.6,2.263157894736842,5.599896145825946,294.5243112740431,149.30555555555554,3732.6388888888887,0.5069379668852962,149.30555555555554
0.6,2.473684210526316,5.599896145825946,294.5243112740431,163.19444444444443,4079.8611111111118,0.5540949870606726,163.19444444444443
