bulk_density_g_cm3,spoon_interval_s,static_mass_mg_min,static_mass_mg_max,effective_mass_mg_min,effective_mass_mg_max
0.4,1.0,0.7853981633974482,15.707963267948967,3.015928947446201,60.318578948924035
0.4,2.0,0.7853981633974482,15.707963267948967,1.5079644737231006,30.159289474462017
0.4,3.0,0.7853981633974482,15.707963267948967,1.0053096491487337,20.10619298297468
0.4,4.0,0.7853981633974482,15.707963267948967,0.7539822368615503,15.079644737231009
0.4,5.0,0.7853981633974482,15.707963267948967,0.6031857894892402,12.063715789784808
0.5,1.0,0.9817477042468102,19.634954084936208,3.7699111843077513,75.39822368615503
0.5,2.0,0.9817477042468102,19.634954084936208,1.8849555921538756,37.69911184307752
0.5,3.0,0.9817477042468102,19.634954084936208,1.256637061435917,25.132741228718345
0.5,4.0,0.9817477042468102,19.634954084936208,0.9424777960769378,18.84955592153876
0.5,5.0,0.9817477042468102,19.634954084936208,0.7539822368615503,15.079644737231007
0.6,1.0,1.1780972450961724,23.56194490192345,4.523893421169302,90.47786842338604
0.6,2.0,1.1780972450961724,23.56194490192345,2.261946710584651,45.23893421169302
0.6,3.0,1.1780972450961724,23.56194490192345,1.5079644737231008,30.159289474462017
0.6,4.0,1.1780972450961724,23.56194490192345,1.1309733552923256,22.61946710584651
0.6,5.0,1.1780972450961724,23.56194490192345,0.9047786842338604,18.09557368467721
