bulk_density_g_per_cm3,spoon_interval_s,spoon_presentations,static_sample_mass_per_spoon_g,static_sample_mass_per_spoon_mg,spoon_sample_volume_cm3,representative_penetration_depth_mm,total_spectral_acquisition_time_s,effective_sample_size_g,effective_sample_size_mg
0.5,1.0,3.84,0.009817477042468103,9.817477042468104,0.019634954084936207,1.0,3.84,0.03769911184307752,37.69911184307752
0.5,2.0,1.92,0.009817477042468103,9.817477042468104,0.019634954084936207,1.0,3.84,0.01884955592153876,18.84955592153876
0.5,3.0,1.28,0.009817477042468103,9.817477042468104,0.019634954084936207,1.0,3.84,0.012566370614359173,12.566370614359172
0.5,4.0,0.96,0.009817477042468103,9.817477042468104,0.019634954084936207,1.0,3.84,0.00942477796076938,9.42477796076938
0.5,5.0,0.768,0.009817477042468103,9.817477042468104,0.019634954084936207,1.0,3.84,0.007539822368615503,7.5398223686155035
