throughput_kg_h,density_g_cm3,pipe_diameter_mm,pipe_tilt_deg_from_vertical,penetration_depth_mm,probe_diameter_mm,acquisition_time_s,throughput_g_s,pipe_area_cm2,superficial_velocity_cm_s,optical_mass_per_refresh_mg,crossing_time_s,n_refresh,effective_sample_mass_proxy_mg,passed_volume_cm3,passed_mass_mg
40,0.4,100.0,15.0,0.5,5.0,1.0,11.11111111111111,78.53981633974483,0.3536776513153229,3.926990816987242,1.4137166941154071,0.7073553026306458,2.7777777777777772,0.06944444444444443,27.777777777777775
40,0.4,100.0,15.0,1.0,5.0,1.0,11.11111111111111,78.53981633974483,0.3536776513153229,7.853981633974484,1.4137166941154071,0.7073553026306458,5.5555555555555545,0.06944444444444443,27.777777777777775
40,0.4,100.0,15.0,2.0,5.0,1.0,11.11111111111111,78.53981633974483,0.3536776513153229,15.707963267948967,1.4137166941154071,0.7073553026306458,11.111111111111109,0.06944444444444443,27.777777777777775
70,0.4,100.0,15.0,0.5,5.0,1.0,19.444444444444443,78.53981633974483,0.6189358898018151,3.926990816987242,0.8078381109230898,1.2378717796036303,4.861111111111112,0.12152777777777776,48.61111111111111
70,0.4,100.0,15.0,1.0,5.0,1.0,19.444444444444443,78.53981633974483,0.6189358898018151,7.853981633974484,0.8078381109230898,1.2378717796036303,9.722222222222223,0.12152777777777776,48.61111111111111
70,0.4,100.0,15.0,2.0,5.0,1.0,19.444444444444443,78.53981633974483,0.6189358898018151,15.707963267948967,0.8078381109230898,1.2378717796036303,19.444444444444446,0.12152777777777776,48.61111111111111
100,0.4,100.0,15.0,0.5,5.0,1.0,27.77777777777778,78.53981633974483,0.8841941282883073,3.926990816987242,0.5654866776461628,1.768388256576615,6.944444444444445,0.17361111111111108,69.44444444444443
100,0.4,100.0,15.0,1.0,5.0,1.0,27.77777777777778,78.53981633974483,0.8841941282883073,7.853981633974484,0.5654866776461628,1.768388256576615,13.88888888888889,0.17361111111111108,69.44444444444443
100,0.4,100.0,15.0,2.0,5.0,1.0,27.77777777777778,78.53981633974483,0.8841941282883073,15.707963267948967,0.5654866776461628,1.768388256576615,27.77777777777778,0.17361111111111108,69.44444444444443
40,0.5,100.0,15.0,0.5,5.0,1.0,11.11111111111111,78.53981633974483,0.28294212105225836,4.908738521234052,1.7671458676442588,0.5658842421045167,2.7777777777777772,0.05555555555555555,27.777777777777775
40,0.5,100.0,15.0,1.0,5.0,1.0,11.11111111111111,78.53981633974483,0.28294212105225836,9.817477042468104,1.7671458676442588,0.5658842421045167,5.5555555555555545,0.05555555555555555,27.777777777777775
40,0.5,100.0,15.0,2.0,5.0,1.0,11.11111111111111,78.53981633974483,0.28294212105225836,19.634954084936208,1.7671458676442588,0.5658842421045167,11.111111111111109,0.05555555555555555,27.777777777777775
70,0.5,100.0,15.0,0.5,5.0,1.0,19.444444444444443,78.53981633974483,0.4951487118414521,4.908738521234052,1.0097976386538623,0.9902974236829042,4.861111111111111,0.09722222222222221,48.61111111111111
70,0.5,100.0,15.0,1.0,5.0,1.0,19.444444444444443,78.53981633974483,0.4951487118414521,9.817477042468104,1.0097976386538623,0.9902974236829042,9.722222222222221,0.09722222222222221,48.61111111111111
70,0.5,100.0,15.0,2.0,5.0,1.0,19.444444444444443,78.53981633974483,0.4951487118414521,19.634954084936208,1.0097976386538623,0.9902974236829042,19.444444444444443,0.09722222222222221,48.61111111111111
100,0.5,100.0,15.0,0.5,5.0,1.0,27.77777777777778,78.53981633974483,0.7073553026306459,4.908738521234052,0.7068583470577035,1.4147106052612919,6.944444444444444,0.1388888888888889,69.44444444444444
100,0.5,100.0,15.0,1.0,5.0,1.0,27.77777777777778,78.53981633974483,0.7073553026306459,9.817477042468104,0.7068583470577035,1.4147106052612919,13.888888888888888,0.1388888888888889,69.44444444444444
100,0.5,100.0,15.0,2.0,5.0,1.0,27.77777777777778,78.53981633974483,0.7073553026306459,19.634954084936208,0.7068583470577035,1.4147106052612919,27.777777777777775,0.1388888888888889,69.44444444444444
40,0.6,100.0,15.0,0.5,5.0,1.0,11.11111111111111,78.53981633974483,0.23578510087688195,5.890486225480862,2.120575041173111,0.47157020175376385,2.7777777777777772,0.04629629629629629,27.77777777777777
40,0.6,100.0,15.0,1.0,5.0,1.0,11.11111111111111,78.53981633974483,0.23578510087688195,11.780972450961723,2.120575041173111,0.47157020175376385,5.5555555555555545,0.04629629629629629,27.77777777777777
40,0.6,100.0,15.0,2.0,5.0,1.0,11.11111111111111,78.53981633974483,0.23578510087688195,23.561944901923447,2.120575041173111,0.47157020175376385,11.111111111111109,0.04629629629629629,27.77777777777777
70,0.6,100.0,15.0,0.5,5.0,1.0,19.444444444444443,78.53981633974483,0.41262392653454344,5.890486225480862,1.2117571663846347,0.8252478530690868,4.86111111111111,0.08101851851851852,48.611111111111114
70,0.6,100.0,15.0,1.0,5.0,1.0,19.444444444444443,78.53981633974483,0.41262392653454344,11.780972450961723,1.2117571663846347,0.8252478530690868,9.72222222222222,0.08101851851851852,48.611111111111114
70,0.6,100.0,15.0,2.0,5.0,1.0,19.444444444444443,78.53981633974483,0.41262392653454344,23.561944901923447,1.2117571663846347,0.8252478530690868,19.44444444444444,0.08101851851851852,48.611111111111114
100,0.6,100.0,15.0,0.5,5.0,1.0,27.77777777777778,78.53981633974483,0.5894627521922049,5.890486225480862,0.8482300164692442,1.1789255043844098,6.944444444444443,0.11574074074074073,69.44444444444443
100,0.6,100.0,15.0,1.0,5.0,1.0,27.77777777777778,78.53981633974483,0.5894627521922049,11.780972450961723,0.8482300164692442,1.1789255043844098,13.888888888888886,0.11574074074074073,69.44444444444443
100,0.6,100.0,15.0,2.0,5.0,1.0,27.77777777777778,78.53981633974483,0.5894627521922049,23.561944901923447,0.8482300164692442,1.1789255043844098,27.77777777777777,0.11574074074074073,69.44444444444443
