throughput_kg_h,density_g_cm3,superficial_velocity_cm_s,passed_mass_mg
40,0.4,0.3536776513153229,27.777777777777775
45,0.4,0.3978873577297383,31.25
50,0.4,0.4420970641441537,34.722222222222214
55,0.4,0.4863067705585691,38.19444444444445
60,0.4,0.5305164769729844,41.666666666666664
65,0.4,0.5747261833873998,45.138888888888886
70,0.4,0.6189358898018151,48.61111111111111
75,0.4,0.6631455962162305,52.08333333333333
80,0.4,0.7073553026306458,55.55555555555555
85,0.4,0.7515650090450613,59.027777777777786
90,0.4,0.7957747154594766,62.5
95,0.4,0.839984421873892,65.97222222222221
100,0.4,0.8841941282883073,69.44444444444443
40,0.5,0.28294212105225836,27.777777777777775
45,0.5,0.3183098861837907,31.25
50,0.5,0.35367765131532297,34.72222222222222
55,0.5,0.3890454164468553,38.19444444444445
60,0.5,0.4244131815783876,41.666666666666664
65,0.5,0.45978094670991987,45.138888888888886
70,0.5,0.4951487118414521,48.61111111111111
75,0.5,0.5305164769729844,52.08333333333333
80,0.5,0.5658842421045167,55.55555555555555
85,0.5,0.601252007236049,59.02777777777777
90,0.5,0.6366197723675814,62.5
95,0.5,0.6719875374991137,65.97222222222223
100,0.5,0.7073553026306459,69.44444444444444
40,0.6,0.23578510087688195,27.77777777777777
45,0.6,0.2652582384864922,31.249999999999996
50,0.6,0.29473137609610245,34.722222222222214
55,0.6,0.32420451370571274,38.19444444444445
60,0.6,0.35367765131532297,41.666666666666664
65,0.6,0.38315078892493326,45.138888888888886
70,0.6,0.41262392653454344,48.611111111111114
75,0.6,0.4420970641441537,52.08333333333332
80,0.6,0.4715702017537639,55.55555555555554
85,0.6,0.5010433393633742,59.02777777777777
90,0.6,0.5305164769729844,62.49999999999999
95,0.6,0.5599896145825947,65.97222222222221
100,0.6,0.5894627521922049,69.44444444444443
