throughput_kg_h,density_g_cm3,pipe_diameter_mm,pipe_tilt_deg_from_vertical,penetration_depth_mm,probe_diameter_mm,acquisition_time_s,throughput_g_s,pipe_area_cm2,superficial_velocity_cm_s,optical_mass_per_refresh_mg,crossing_time_s,n_refresh,effective_sample_mass_proxy_mg,passed_volume_cm3,passed_mass_mg
40,0.4,65.0,26.5,0.1,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,0.7853981633974484,0.5972953032637595,3.0135847212666573,2.3668639053254443,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,0.2,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,1.5707963267948968,0.5972953032637595,3.0135847212666573,4.733727810650889,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,0.3,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,2.356194490192345,0.5972953032637595,3.0135847212666573,7.100591715976331,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,0.4,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,3.1415926535897936,0.5972953032637595,3.0135847212666573,9.467455621301777,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,0.5,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,3.926990816987242,0.5972953032637595,3.0135847212666573,11.83431952662722,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,0.6,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,4.71238898038469,0.5972953032637595,3.0135847212666573,14.201183431952662,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,0.7,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,5.497787143782138,0.5972953032637595,3.0135847212666573,16.568047337278106,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,0.8,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,6.283185307179587,0.5972953032637595,3.0135847212666573,18.934911242603555,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,0.9,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,7.068583470577035,0.5972953032637595,3.0135847212666573,21.301775147928996,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.0,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,7.853981633974484,0.5972953032637595,3.0135847212666573,23.66863905325444,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.1,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,8.639379797371934,0.5972953032637595,3.0135847212666573,26.035502958579887,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.2,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,9.42477796076938,0.5972953032637595,3.0135847212666573,28.402366863905325,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.3,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,10.210176124166829,0.5972953032637595,3.0135847212666573,30.769230769230774,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.4,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,10.995574287564276,0.5972953032637595,3.0135847212666573,33.13609467455621,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.5,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,11.780972450961725,0.5972953032637595,3.0135847212666573,35.50295857988166,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.6,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,12.566370614359174,0.5972953032637595,3.0135847212666573,37.86982248520711,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.7,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,13.351768777756622,0.5972953032637595,3.0135847212666573,40.23668639053255,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.8,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,14.13716694115407,0.5972953032637595,3.0135847212666573,42.60355029585799,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,1.9,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,14.922565104551516,0.5972953032637595,3.0135847212666573,44.97041420118343,0.2958579881656805,118.3431952662722
40,0.4,65.0,26.5,2.0,5.0,1.8,11.11111111111111,33.18307240354219,0.8371068670185159,15.707963267948967,0.5972953032637595,3.0135847212666573,47.33727810650888,0.2958579881656805,118.3431952662722
45,0.4,65.0,26.5,0.1,5.0,1.8,12.5,33.18307240354219,0.9417452253958304,0.7853981633974484,0.5309291584566751,3.3902828114249894,2.6627218934911245,0.33284023668639057,133.13609467455623
45,0.4,65.0,26.5,0.2,5.0,1.8,12.5,33.18307240354219,0.9417452253958304,1.5707963267948968,0.5309291584566751,3.3902828114249894,5.325443786982249,0.33284023668639057,133.13609467455623
45,0.4,65.0,26.5,0.3,5.0,1.8,12.5,33.18307240354219,0.9417452253958304,2.356194490192345,0.5309291584566751,3.3902828114249894,7.988165680473372,0.33284023668639057,133.13609467455623
45,0.4,65.0,26.5,0.4,5.0,1.8,12.5,33.18307240354219,0.9417452253958304,3.1415926535897936,0.5309291584566751,3.3902828114249894,10.650887573964498,0.33284023668639057,133.13609467455623
45,0.4,65.0,26.5,0.5,5.0,1.8,12.5,33.18307240354219,0.9417452253958304,3.926990816987242,0.5309291584566751,3.3902828114249894,13.313609467455622,0.33284023668639057,133.13609467455623
45,0.4,65.0,26.5,0.6,5.0,1.8,12.5,33.18307240354219,0.9417452253958304,4.71238898038469,0.5309291584566751,3.3902828114249894,15.976331360946745,0.33284023668639057,133.13609467455623
