acquisition_time_s,measurement_depth_cm,velocity_mm_s,filled_height_cm,probe_height_from_bottom_cm,probe_is_covered,probe_mass_mg_instant,new_mass_mg_per_acq,mass_passed_mg_per_acq,refresh_fraction_per_acq,effective_sample_size_mg
1.0,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,65.97222222222221,1649.3055555555557,0.4479916916660757,65.97222222222221
1.2105263157894737,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,79.8611111111111,1996.5277777777776,0.5423057320168285,79.8611111111111
1.4210526315789473,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,93.74999999999999,2343.75,0.6366197723675813,93.74999999999999
1.631578947368421,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,107.63888888888887,2690.972222222222,0.730933812718334,107.63888888888887
1.8421052631578947,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,121.52777777777776,3038.1944444444443,0.8252478530690869,121.52777777777776
2.052631578947368,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,135.41666666666663,3385.416666666666,0.9195618934198395,135.41666666666663
2.263157894736842,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,3732.6388888888887,1.0,147.26215563702155
2.473684210526316,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,4079.8611111111118,1.0,147.26215563702155
2.6842105263157894,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,4427.083333333333,1.0,147.26215563702155
2.894736842105263,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,4774.305555555556,1.0,147.26215563702155
3.1052631578947367,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,5121.527777777777,1.0,147.26215563702155
3.3157894736842106,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,5468.75,1.0,147.26215563702155
3.526315789473684,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,5815.972222222223,1.0,147.26215563702155
3.7368421052631575,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,6163.194444444443,1.0,147.26215563702155
3.9473684210526314,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,6510.416666666666,1.0,147.26215563702155
4.157894736842105,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,6857.63888888889,1.0,147.26215563702155
4.368421052631579,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,7204.86111111111,1.0,147.26215563702155
4.578947368421052,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,7552.083333333333,1.0,147.26215563702155
4.789473684210526,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,7899.305555555555,1.0,147.26215563702155
5.0,0.1,11.199792291651892,40.0,20.0,True,147.26215563702155,147.26215563702155,8246.52777777778,1.0,147.26215563702155
