measurement_depth_cm,measurement_depth_mm,velocity_mm_s,probe_mass_mg_instant,new_mass_mg_per_acq,refresh_fraction_per_acq,effective_sample_size_mg
0.01,0.1,11.199792291651892,14.726215563702155,6.597222222222221,0.4479916916660757,6.597222222222221
0.02,0.2,11.199792291651892,29.45243112740431,13.194444444444443,0.4479916916660757,13.194444444444443
0.03,0.3,11.199792291651892,44.178646691106465,19.791666666666664,0.4479916916660757,19.791666666666664
0.04,0.4,11.199792291651892,58.90486225480862,26.388888888888886,0.4479916916660757,26.388888888888886
0.05,0.5,11.199792291651892,73.63107781851078,32.98611111111111,0.4479916916660757,32.98611111111111
0.06,0.6,11.199792291651892,88.35729338221293,39.58333333333333,0.4479916916660757,39.58333333333333
0.07,0.7000000000000001,11.199792291651892,103.0835089459151,46.18055555555556,0.4479916916660757,46.18055555555556
0.08,0.8,11.199792291651892,117.80972450961724,52.77777777777777,0.4479916916660757,52.77777777777777
0.09,0.8999999999999999,11.199792291651892,132.5359400733194,59.37499999999999,0.4479916916660757,59.37499999999999
0.1,1.0,11.199792291651892,147.26215563702155,65.97222222222221,0.4479916916660757,65.97222222222221
0.11,1.1,11.199792291651892,161.98837120072372,72.56944444444444,0.4479916916660757,72.56944444444444
0.12,1.2,11.199792291651892,176.71458676442586,79.16666666666666,0.4479916916660757,79.16666666666666
0.13,1.3,11.199792291651892,191.44080232812803,85.76388888888887,0.4479916916660757,85.76388888888887
0.14,1.4000000000000001,11.199792291651892,206.1670178918302,92.36111111111111,0.4479916916660757,92.36111111111111
0.15,1.5,11.199792291651892,220.89323345553234,98.95833333333331,0.4479916916660757,98.95833333333331
0.16,1.6,11.199792291651892,235.61944901923448,105.55555555555554,0.4479916916660757,105.55555555555554
0.17,1.7000000000000002,11.199792291651892,250.34566458293668,112.15277777777779,0.4479916916660757,112.15277777777779
0.18,1.7999999999999998,11.199792291651892,265.0718801466388,118.74999999999999,0.4479916916660757,118.74999999999999
0.19,1.9,11.199792291651892,279.798095710341,125.34722222222221,0.4479916916660757,125.34722222222221
0.2,2.0,11.199792291651892,294.5243112740431,131.94444444444443,0.4479916916660757,131.94444444444443
