bulk_density_g_per_cm3,measurement_depth_cm,measurement_depth_mm,velocity_mm_s,advance_dz_mm_per_acq,probe_mass_mg_instant,swept_increment_mass_mg,unique_exposed_mass_mg,effective_sample_size_mg
0.4,0.01,0.1,8.39984421873892,8.39984421873892,19.634954084936208,8.399844218738922,28.03479830367513,28.03479830367513
0.4,0.02,0.2,8.39984421873892,8.39984421873892,39.269908169872416,16.799688437477844,56.06959660735026,56.06959660735026
0.4,0.03,0.3,8.39984421873892,8.39984421873892,58.90486225480862,25.19953265621676,84.1043949110254,84.1043949110254
0.4,0.04,0.4,8.39984421873892,8.39984421873892,78.53981633974483,33.59937687495569,112.13919321470053,112.13919321470053
0.4,0.05,0.5,8.39984421873892,8.39984421873892,98.17477042468104,41.99922109369461,140.17399151837566,140.17399151837566
0.4,0.06,0.6,8.39984421873892,8.39984421873892,117.80972450961724,50.39906531243352,168.2087898220508,168.2087898220508
0.4,0.07,0.7000000000000001,8.39984421873892,8.39984421873892,137.44467859455347,58.79890953117245,196.24358812572592,196.24358812572592
0.4,0.08,0.8,8.39984421873892,8.39984421873892,157.07963267948966,67.19875374991138,224.27838642940105,224.27838642940105
0.4,0.09,0.8999999999999999,8.39984421873892,8.39984421873892,176.71458676442586,75.59859796865028,252.31318473307613,252.31318473307613
0.4,0.1,1.0,8.39984421873892,8.39984421873892,196.34954084936209,83.99844218738922,280.3479830367513,280.3479830367513
0.4,0.11,1.1,8.39984421873892,8.39984421873892,215.9844949342983,92.39828640612812,308.38278134042645,308.38278134042645
0.4,0.12,1.2,8.39984421873892,8.39984421873892,235.61944901923448,100.79813062486704,336.4175796441016,336.4175796441016
0.4,0.13,1.3,8.39984421873892,8.39984421873892,255.25440310417073,109.19797484360596,364.4523779477767,364.4523779477767
0.4,0.14,1.4000000000000001,8.39984421873892,8.39984421873892,274.88935718910693,117.5978190623449,392.48717625145184,392.48717625145184
0.4,0.15,1.5,8.39984421873892,8.39984421873892,294.52431127404316,125.9976632810838,420.521974555127,420.521974555127
0.4,0.16,1.6,8.39984421873892,8.39984421873892,314.1592653589793,134.39750749982275,448.5567728588021,448.5567728588021
0.4,0.17,1.7000000000000002,8.39984421873892,8.39984421873892,333.79421944391555,142.79735171856166,476.59157116247724,476.59157116247724
0.4,0.18,1.7999999999999998,8.39984421873892,8.39984421873892,353.4291735288517,151.19719593730056,504.62636946615225,504.62636946615225
0.4,0.19,1.9,8.39984421873892,8.39984421873892,373.064127613788,159.59704015603947,532.6611677698274,532.6611677698274
0.4,0.2,2.0,8.39984421873892,8.39984421873892,392.69908169872417,167.99688437477843,560.6959660735026,560.6959660735026
0.5,0.01,0.1,6.719875374991137,6.719875374991137,24.543692606170257,8.399844218738922,32.94353682490918,32.94353682490918
0.5,0.02,0.2,6.719875374991137,6.719875374991137,49.087385212340514,16.799688437477844,65.88707364981836,65.88707364981836
0.5,0.03,0.3,6.719875374991137,6.719875374991137,73.63107781851078,25.19953265621676,98.83061047472754,98.83061047472754
0.5,0.04,0.4,6.719875374991137,6.719875374991137,98.17477042468103,33.59937687495569,131.77414729963672,131.77414729963672
