setup,pipe_diameter_cm,pipe_area_cm2,probe_window_diameter_cm,probe_window_area_cm2,measurement_depth_cm,bulk_density_g_per_cm3,throughput_kg,throughput_time_s,mass_flow_g_s,vol_flow_cm3_s,velocity_source,velocity_cm_s,velocity_mm_s,acquisition_time_s,axial_length_model,axial_sampling_length_cm,advance_dz_cm_per_acq,refresh_fraction_per_acq,probe_volume_cm3,probe_mass_g_instant,probe_mass_mg_instant,new_mass_g_per_acq,new_mass_mg_per_acq,mass_passed_g_per_acq,mass_passed_mg_per_acq,mass_time_exposure_g_s,mass_time_exposure_mg_s,effective_sample_size_mg
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,0.1,window_diameter,0.5,0.11199792291651894,0.2239958458330379,0.019634954084936207,0.005890486225480862,5.890486225480862,0.0013194444444444443,1.3194444444444442,0.006597222222222221,6.597222222222221,0.0005890486225480862,0.5890486225480862,1.3194444444444442
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,0.35789473684210527,window_diameter,0.5,0.40083467149069935,0.8016693429813987,0.019634954084936207,0.005890486225480862,5.890486225480862,0.004722222222222221,4.722222222222221,0.023611111111111107,23.611111111111107,0.002108174017540519,2.108174017540519,4.722222222222221
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,0.6157894736842106,window_diameter,0.5,0.6896714200648798,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.040624999999999994,40.62499999999999,0.003627299412532952,3.627299412532952,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,0.8736842105263158,window_diameter,0.5,0.9785081686390602,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.05763888888888888,57.63888888888888,0.005146424807525384,5.146424807525384,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.1315789473684212,window_diameter,0.5,1.2673449172132407,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.07465277777777778,74.65277777777777,0.006665550202517819,6.665550202517819,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.3894736842105266,window_diameter,0.5,1.5561816657874212,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.09166666666666667,91.66666666666667,0.008184675597510252,8.184675597510251,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.6473684210526318,window_diameter,0.5,1.8450184143616015,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.10868055555555554,108.68055555555554,0.009703800992502684,9.703800992502684,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.905263157894737,window_diameter,0.5,2.133855162935782,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.12569444444444444,125.69444444444444,0.011222926387495117,11.222926387495116,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,2.1631578947368424,window_diameter,0.5,2.4226919115099625,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.14270833333333333,142.70833333333331,0.01274205178248755,12.74205178248755,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,2.421052631578948,window_diameter,0.5,2.711528660084143,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.1597222222222222,159.7222222222222,0.014261177177479984,14.261177177479984,5.890486225480862
