acquisition_time_s,velocity_mm_s,probe_mass_mg_instant,new_mass_mg_per_acq,mass_passed_mg_per_acq,refresh_fraction_per_acq,effective_sample_size_mg
0.1,11.199792291651892,5.890486225480862,1.3194444444444442,6.597222222222221,0.2239958458330379,1.3194444444444442
0.35789473684210527,11.199792291651892,5.890486225480862,4.722222222222221,23.611111111111107,0.8016693429813987,4.722222222222221
0.6157894736842106,11.199792291651892,5.890486225480862,5.890486225480862,40.62499999999999,1.0,5.890486225480862
0.8736842105263158,11.199792291651892,5.890486225480862,5.890486225480862,57.63888888888888,1.0,5.890486225480862
1.1315789473684212,11.199792291651892,5.890486225480862,5.890486225480862,74.65277777777777,1.0,5.890486225480862
1.3894736842105266,11.199792291651892,5.890486225480862,5.890486225480862,91.66666666666667,1.0,5.890486225480862
1.6473684210526318,11.199792291651892,5.890486225480862,5.890486225480862,108.68055555555554,1.0,5.890486225480862
1.905263157894737,11.199792291651892,5.890486225480862,5.890486225480862,125.69444444444444,1.0,5.890486225480862
2.1631578947368424,11.199792291651892,5.890486225480862,5.890486225480862,142.70833333333331,1.0,5.890486225480862
2.421052631578948,11.199792291651892,5.890486225480862,5.890486225480862,159.7222222222222,1.0,5.890486225480862
2.678947368421053,11.199792291651892,5.890486225480862,5.890486225480862,176.73611111111111,1.0,5.890486225480862
2.936842105263158,11.199792291651892,5.890486225480862,5.890486225480862,193.74999999999997,1.0,5.890486225480862
3.1947368421052635,11.199792291651892,5.890486225480862,5.890486225480862,210.76388888888886,1.0,5.890486225480862
3.452631578947369,11.199792291651892,5.890486225480862,5.890486225480862,227.77777777777777,1.0,5.890486225480862
3.710526315789474,11.199792291651892,5.890486225480862,5.890486225480862,244.79166666666663,1.0,5.890486225480862
3.9684210526315793,11.199792291651892,5.890486225480862,5.890486225480862,261.8055555555555,1.0,5.890486225480862
4.226315789473684,11.199792291651892,5.890486225480862,5.890486225480862,278.8194444444444,1.0,5.890486225480862
4.484210526315789,11.199792291651892,5.890486225480862,5.890486225480862,295.83333333333326,1.0,5.890486225480862
4.742105263157895,11.199792291651892,5.890486225480862,5.890486225480862,312.8472222222222,1.0,5.890486225480862
5.0,11.199792291651892,5.890486225480862,5.890486225480862,329.86111111111103,1.0,5.890486225480862
