setup,penetration_depth_mm,penetration_depth_m,penetration_depth_cm,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,static_sampled_volume_m3,static_sampled_volume_mm3,spoon_sample_volume_cm3,static_sampled_mass_kg,static_sampled_mass_g,static_sampled_mass_mg,n_subscans,integration_time_ms,acquisition_time_s,total_spectral_acquisition_time_s,spoon_interval_s,flip_frequency_hz,spoons_contributing,effective_sampled_mass_kg,effective_sample_size_g,effective_sampled_mass_mg,effective_sample_size_mg
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,256,15.0,3.84,3.84,1.0,1.0,3.84,3.015928947446201e-06,0.003015928947446201,3.015928947446201,3.015928947446201
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,256,15.0,3.84,3.84,2.0,0.5,1.92,1.5079644737231006e-06,0.0015079644737231006,1.5079644737231006,1.5079644737231006
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,1.0053096491487338e-06,0.0010053096491487337,1.0053096491487337,1.0053096491487337
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,256,15.0,3.84,3.84,4.0,0.25,0.96,7.539822368615503e-07,0.0007539822368615503,0.7539822368615503,0.7539822368615503
B,0.1,0.0001,0.01,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974482e-07,0.0007853981633974482,0.7853981633974482,256,15.0,3.84,3.84,5.0,0.2,0.768,6.031857894892402e-07,0.0006031857894892402,0.6031857894892402,0.6031857894892402
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,256,15.0,3.84,3.84,1.0,1.0,3.84,3.7699111843077512e-06,0.0037699111843077513,3.7699111843077513,3.7699111843077513
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,256,15.0,3.84,3.84,2.0,0.5,1.92,1.8849555921538756e-06,0.0018849555921538756,1.8849555921538756,1.8849555921538756
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,1.256637061435917e-06,0.001256637061435917,1.256637061435917,1.256637061435917
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,256,15.0,3.84,3.84,4.0,0.25,0.96,9.424777960769378e-07,0.0009424777960769378,0.9424777960769378,0.9424777960769378
B,0.1,0.0001,0.01,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468103e-07,0.0009817477042468102,0.9817477042468102,256,15.0,3.84,3.84,5.0,0.2,0.768,7.539822368615503e-07,0.0007539822368615503,0.7539822368615503,0.7539822368615503
B,0.1,0.0001,0.01,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,1.1780972450961724e-06,0.0011780972450961724,1.1780972450961724,256,15.0,3.84,3.84,1.0,1.0,3.84,4.523893421169302e-06,0.004523893421169302,4.523893421169302,4.523893421169302
B,0.1,0.0001,0.01,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,1.1780972450961724e-06,0.0011780972450961724,1.1780972450961724,256,15.0,3.84,3.84,2.0,0.5,1.92,2.261946710584651e-06,0.002261946710584651,2.261946710584651,2.261946710584651
B,0.1,0.0001,0.01,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,1.1780972450961724e-06,0.0011780972450961724,1.1780972450961724,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,1.5079644737231008e-06,0.0015079644737231008,1.5079644737231008,1.5079644737231008
B,0.1,0.0001,0.01,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,1.1780972450961724e-06,0.0011780972450961724,1.1780972450961724,256,15.0,3.84,3.84,4.0,0.25,0.96,1.1309733552923255e-06,0.0011309733552923255,1.1309733552923256,1.1309733552923256
B,0.1,0.0001,0.01,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,1.1780972450961724e-06,0.0011780972450961724,1.1780972450961724,256,15.0,3.84,3.84,5.0,0.2,0.768,9.047786842338604e-07,0.0009047786842338604,0.9047786842338604,0.9047786842338604
B,0.2,0.0002,0.02,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.5707963267948965e-06,0.0015707963267948964,1.5707963267948963,256,15.0,3.84,3.84,1.0,1.0,3.84,6.031857894892402e-06,0.006031857894892402,6.031857894892402,6.031857894892402
B,0.2,0.0002,0.02,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.5707963267948965e-06,0.0015707963267948964,1.5707963267948963,256,15.0,3.84,3.84,2.0,0.5,1.92,3.015928947446201e-06,0.003015928947446201,3.015928947446201,3.015928947446201
B,0.2,0.0002,0.02,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.5707963267948965e-06,0.0015707963267948964,1.5707963267948963,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,2.0106192982974676e-06,0.0020106192982974674,2.0106192982974673,2.0106192982974673
B,0.2,0.0002,0.02,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.5707963267948965e-06,0.0015707963267948964,1.5707963267948963,256,15.0,3.84,3.84,4.0,0.25,0.96,1.5079644737231006e-06,0.0015079644737231006,1.5079644737231006,1.5079644737231006
B,0.2,0.0002,0.02,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.5707963267948965e-06,0.0015707963267948964,1.5707963267948963,256,15.0,3.84,3.84,5.0,0.2,0.768,1.2063715789784804e-06,0.0012063715789784803,1.2063715789784804,1.2063715789784804
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,1.0,1.0,3.84,7.5398223686155025e-06,0.0075398223686155025,7.539822368615503,7.539822368615503
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,2.0,0.5,1.92,3.7699111843077512e-06,0.0037699111843077513,3.7699111843077513,3.7699111843077513
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,2.513274122871834e-06,0.002513274122871834,2.513274122871834,2.513274122871834
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,4.0,0.25,0.96,1.8849555921538756e-06,0.0018849555921538756,1.8849555921538756,1.8849555921538756
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,256,15.0,3.84,3.84,5.0,0.2,0.768,1.5079644737231006e-06,0.0015079644737231006,1.5079644737231006,1.5079644737231006
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,256,15.0,3.84,3.84,1.0,1.0,3.84,9.047786842338604e-06,0.009047786842338604,9.047786842338605,9.047786842338605
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,256,15.0,3.84,3.84,2.0,0.5,1.92,4.523893421169302e-06,0.004523893421169302,4.523893421169302,4.523893421169302
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,256,15.0,3.84,3.84,3.0,0.3333333333333333,1.28,3.0159289474462016e-06,0.0030159289474462015,3.0159289474462017,3.0159289474462017
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,256,15.0,3.84,3.84,4.0,0.25,0.96,2.261946710584651e-06,0.002261946710584651,2.261946710584651,2.261946710584651
