setup,penetration_depth_mm,penetration_depth_cm,penetration_depth_m,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,sampled_volume_m3,sampled_volume_mm3,sampled_volume_cm3,sampled_mass_kg,sampled_mass_g,sampled_mass_mg,effective_sample_size_g,effective_sample_size_mg
A,0.1,0.01,0.0001,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,7.853981633974484e-07,0.0007853981633974484,0.7853981633974484,0.0007853981633974484,0.7853981633974484
A,0.1,0.01,0.0001,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,9.817477042468105e-07,0.0009817477042468104,0.9817477042468105,0.0009817477042468104,0.9817477042468105
A,0.1,0.01,0.0001,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936207e-09,1.9634954084936207,0.001963495408493621,1.1780972450961724e-06,0.0011780972450961724,1.1780972450961724,0.0011780972450961724,1.1780972450961724
A,0.2,0.02,0.0002,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.5707963267948969e-06,0.0015707963267948969,1.5707963267948968,0.0015707963267948969,1.5707963267948968
A,0.2,0.02,0.0002,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.963495408493621e-06,0.001963495408493621,1.963495408493621,0.001963495408493621,1.963495408493621
A,0.2,0.02,0.0002,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,0.002356194490192345,2.356194490192345
A,0.30000000000000004,0.030000000000000006,0.00030000000000000003,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.3561944901923456e-06,0.0023561944901923457,2.3561944901923457,0.0023561944901923457,2.3561944901923457
A,0.30000000000000004,0.030000000000000006,0.00030000000000000003,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.9452431127404316e-06,0.0029452431127404317,2.9452431127404317,0.0029452431127404317,2.9452431127404317
A,0.30000000000000004,0.030000000000000006,0.00030000000000000003,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,3.5342917352885176e-06,0.0035342917352885177,3.5342917352885177,0.0035342917352885177,3.5342917352885177
A,0.4,0.04,0.0004,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.1415926535897938e-06,0.0031415926535897937,3.1415926535897936,0.0031415926535897937,3.1415926535897936
