bulk_density_g_per_cm3,acquisition_time_s,velocity_mm_s,probe_mass_mg_instant,new_mass_mg_per_acq,mass_passed_mg_per_acq,time_weighted_contribution_proxy_mg_s,refresh_fraction_per_acq,effective_sample_size_mg
0.4,1.0,8.39984421873892,196.34954084936209,65.97222222222223,1649.3055555555557,196.34954084936209,0.3359937687495568,65.97222222222223
0.4,1.2105263157894737,8.39984421873892,196.34954084936209,79.86111111111111,1996.5277777777776,237.68628629133306,0.4067292990126214,79.86111111111111
0.4,1.4210526315789473,8.39984421873892,196.34954084936209,93.75,2343.75,279.023031733304,0.47746482927568595,93.75
0.4,1.631578947368421,8.39984421873892,196.34954084936209,107.6388888888889,2690.972222222222,320.359777175275,0.5482003595387506,107.6388888888889
0.4,1.8421052631578947,8.39984421873892,196.34954084936209,121.52777777777777,3038.1944444444443,361.69652261724593,0.6189358898018151,121.52777777777777
0.4,2.052631578947368,8.39984421873892,196.34954084936209,135.41666666666666,3385.416666666666,403.03326805921694,0.6896714200648797,135.41666666666666
0.4,2.263157894736842,8.39984421873892,196.34954084936209,149.30555555555554,3732.6388888888887,444.3700135011879,0.7604069503279443,149.30555555555554
0.4,2.473684210526316,8.39984421873892,196.34954084936209,163.19444444444446,4079.8611111111118,485.7067589431589,0.8311424805910089,163.19444444444446
0.4,2.6842105263157894,8.39984421873892,196.34954084936209,177.08333333333334,4427.083333333333,527.0435043851298,0.9018780108540735,177.08333333333334
0.4,2.894736842105263,8.39984421873892,196.34954084936209,190.9722222222222,4774.305555555556,568.3802498271008,0.972613541117138,190.9722222222222
0.4,3.1052631578947367,8.39984421873892,196.34954084936209,196.34954084936209,5121.527777777777,609.7169952690717,1.0,196.34954084936209
0.4,3.3157894736842106,8.39984421873892,196.34954084936209,196.34954084936209,5468.75,651.0537407110427,1.0,196.34954084936209
0.4,3.526315789473684,8.39984421873892,196.34954084936209,196.34954084936209,5815.972222222223,692.3904861530137,1.0,196.34954084936209
0.4,3.7368421052631575,8.39984421873892,196.34954084936209,196.34954084936209,6163.194444444443,733.7272315949847,1.0,196.34954084936209
0.4,3.9473684210526314,8.39984421873892,196.34954084936209,196.34954084936209,6510.416666666666,775.0639770369556,1.0,196.34954084936209
0.4,4.157894736842105,8.39984421873892,196.34954084936209,196.34954084936209,6857.63888888889,816.4007224789266,1.0,196.34954084936209
0.4,4.368421052631579,8.39984421873892,196.34954084936209,196.34954084936209,7204.86111111111,857.7374679208975,1.0,196.34954084936209
0.4,4.578947368421052,8.39984421873892,196.34954084936209,196.34954084936209,7552.083333333333,899.0742133628685,1.0,196.34954084936209
0.4,4.789473684210526,8.39984421873892,196.34954084936209,196.34954084936209,7899.305555555555,940.4109588048394,1.0,196.34954084936209
0.4,5.0,8.39984421873892,196.34954084936209,196.34954084936209,8246.52777777778,981.7477042468105,1.0,196.34954084936209
