setup,penetration_depth_mm,penetration_depth_m,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,sampled_volume_m3,sampled_volume_mm3,sampled_volume_cm3,sampled_mass_kg,sampled_mass_g,sampled_mass_mg
A,1.0,0.001,0.4,0.4,400.0,5.0,1.9634954084936207e-05,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,7.853981633974484e-06,0.007853981633974483,7.853981633974484
A,1.0,0.001,0.5,0.5,500.0,5.0,1.9634954084936207e-05,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,9.817477042468103e-06,0.009817477042468103,9.817477042468104
A,1.0,0.001,0.6,0.6,600.0,5.0,1.9634954084936207e-05,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,1.1780972450961723e-05,0.011780972450961723,11.780972450961723
