setup,pipe_diameter_cm,pipe_area_cm2,total_rig_height_cm,maintained_fill_fraction,filled_height_cm,probe_height_from_bottom_cm,probe_submergence_cm,probe_is_covered,coverage_factor,nir_spot_diameter_cm,nir_spot_area_cm2,measurement_depth_cm,bulk_density_g_per_cm3,throughput_kg,throughput_time_s,mass_flow_g_s,vol_flow_cm3_s,velocity_source,velocity_cm_s,velocity_mm_s,acquisition_time_s,axial_length_model,axial_sampling_length_cm,advance_dz_cm_per_acq,raw_refresh_fraction_per_acq,refresh_fraction_per_acq,probe_volume_cm3,probe_mass_g_instant,probe_mass_mg_instant,new_mass_g_per_acq,new_mass_mg_per_acq,mass_passed_g_per_acq,mass_passed_mg_per_acq,mass_time_exposure_g_s,mass_time_exposure_mg_s,effective_sample_size_mg,sweep_type
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.01,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.04908738521234052,0.014726215563702155,14.726215563702155,0.006597222222222221,6.597222222222221,1.6493055555555556,1649.3055555555557,0.014726215563702155,14.726215563702155,6.597222222222221,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.02,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.09817477042468103,0.02945243112740431,29.45243112740431,0.013194444444444443,13.194444444444443,1.6493055555555556,1649.3055555555557,0.02945243112740431,29.45243112740431,13.194444444444443,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.03,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.14726215563702155,0.044178646691106466,44.178646691106465,0.019791666666666666,19.791666666666664,1.6493055555555556,1649.3055555555557,0.044178646691106466,44.178646691106465,19.791666666666664,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.04,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.19634954084936207,0.05890486225480862,58.90486225480862,0.026388888888888885,26.388888888888886,1.6493055555555556,1649.3055555555557,0.05890486225480862,58.90486225480862,26.388888888888886,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.05,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.24543692606170261,0.07363107781851078,73.63107781851078,0.032986111111111105,32.98611111111111,1.6493055555555556,1649.3055555555557,0.07363107781851078,73.63107781851078,32.98611111111111,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.06,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.2945243112740431,0.08835729338221293,88.35729338221293,0.03958333333333333,39.58333333333333,1.6493055555555556,1649.3055555555557,0.08835729338221293,88.35729338221293,39.58333333333333,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.07,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.3436116964863837,0.1030835089459151,103.0835089459151,0.04618055555555556,46.18055555555556,1.6493055555555556,1649.3055555555557,0.1030835089459151,103.0835089459151,46.18055555555556,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.08,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.39269908169872414,0.11780972450961724,117.80972450961724,0.05277777777777777,52.77777777777777,1.6493055555555556,1649.3055555555557,0.11780972450961724,117.80972450961724,52.77777777777777,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.09,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.44178646691106466,0.1325359400733194,132.5359400733194,0.05937499999999999,59.37499999999999,1.6493055555555556,1649.3055555555557,0.1325359400733194,132.5359400733194,59.37499999999999,penetration_depth
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,95.0,3600.0,26.38888888888889,87.96296296296296,derived_from_throughput,1.1199792291651893,11.199792291651892,1.0,spot_diameter,2.5,1.1199792291651893,0.4479916916660757,0.4479916916660757,0.49087385212340523,0.14726215563702155,147.26215563702155,0.06597222222222221,65.97222222222221,1.6493055555555556,1649.3055555555557,0.14726215563702155,147.26215563702155,65.97222222222221,penetration_depth
