setup,pipe_diameter_cm,pipe_area_cm2,nir_spot_diameter_cm,nir_spot_area_cm2,spot_area_cm2,measurement_depth_cm,measurement_depth_mm,bulk_density_g_per_cm3,bulk_density_label,throughput_kg,throughput_time_s,mass_flow_g_s,vol_flow_cm3_s,velocity_source,velocity_cm_s,velocity_mm_s,acquisition_time_s,advance_dz_cm_per_acq,advance_dz_mm_per_acq,advance_to_spot_diameter_ratio,swept_increment_area_cm2,unique_exposed_area_cm2,probe_volume_cm3,probe_volume_cm3_instant,swept_increment_volume_cm3,unique_exposed_volume_cm3,probe_mass_g_instant,probe_mass_mg_instant,swept_increment_mass_g,swept_increment_mass_mg,unique_exposed_mass_g,unique_exposed_mass_mg,effective_sample_size_mg,mass_passed_g_per_acq,mass_passed_mg_per_acq,mass_time_exposure_g_s,mass_time_exposure_mg_s,time_weighted_contribution_proxy_g_s,time_weighted_contribution_proxy_mg_s,effective_sample_size_basis,sweep_type
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.4,0.4 g/cm^3,95.0,3600.0,26.38888888888889,65.97222222222221,derived_from_throughput,0.839984421873892,8.39984421873892,1.0,0.839984421873892,8.39984421873892,0.3359937687495568,2.09996105468473,7.008699575918782,0.49087385212340523,0.49087385212340523,0.20999610546847303,0.7008699575918782,0.1963495408493621,196.34954084936209,0.08399844218738922,83.99844218738922,0.2803479830367513,280.3479830367513,280.3479830367513,1.6493055555555556,1649.3055555555557,0.1963495408493621,196.34954084936209,0.1963495408493621,196.34954084936209,unique_exposed_swept_capsule_mass,density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,95.0,3600.0,26.38888888888889,52.77777777777778,derived_from_throughput,0.6719875374991137,6.719875374991137,1.0,0.6719875374991137,6.719875374991137,0.2687950149996455,1.6799688437477842,6.588707364981836,0.49087385212340523,0.49087385212340523,0.16799688437477844,0.6588707364981836,0.24543692606170261,245.43692606170262,0.08399844218738922,83.99844218738922,0.3294353682490918,329.4353682490918,329.4353682490918,1.6493055555555556,1649.3055555555557,0.24543692606170261,245.43692606170262,0.24543692606170261,245.43692606170262,unique_exposed_swept_capsule_mass,density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.6,0.6 g/cm^3,95.0,3600.0,26.38888888888889,43.98148148148148,derived_from_throughput,0.5599896145825947,5.599896145825946,1.0,0.5599896145825947,5.599896145825946,0.22399584583303786,1.3999740364564865,6.308712557690539,0.49087385212340523,0.49087385212340523,0.13999740364564867,0.6308712557690539,0.2945243112740431,294.5243112740431,0.0839984421873892,83.99844218738919,0.3785227534614323,378.52275346143233,378.52275346143233,1.6493055555555556,1649.3055555555557,0.2945243112740431,294.5243112740431,0.2945243112740431,294.5243112740431,unique_exposed_swept_capsule_mass,density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.01,0.1,0.4,0.4 g/cm^3,95.0,3600.0,26.38888888888889,65.97222222222221,derived_from_throughput,0.839984421873892,8.39984421873892,1.0,0.839984421873892,8.39984421873892,0.3359937687495568,2.09996105468473,7.008699575918782,0.04908738521234052,0.04908738521234052,0.020999610546847302,0.07008699575918782,0.019634954084936207,19.634954084936208,0.008399844218738921,8.399844218738922,0.02803479830367513,28.03479830367513,28.03479830367513,1.6493055555555556,1649.3055555555557,0.019634954084936207,19.634954084936208,0.019634954084936207,19.634954084936208,unique_exposed_swept_capsule_mass,penetration_depth_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.02,0.2,0.4,0.4 g/cm^3,95.0,3600.0,26.38888888888889,65.97222222222221,derived_from_throughput,0.839984421873892,8.39984421873892,1.0,0.839984421873892,8.39984421873892,0.3359937687495568,2.09996105468473,7.008699575918782,0.09817477042468103,0.09817477042468103,0.041999221093694604,0.14017399151837565,0.039269908169872414,39.269908169872416,0.016799688437477842,16.799688437477844,0.05606959660735026,56.06959660735026,56.06959660735026,1.6493055555555556,1649.3055555555557,0.039269908169872414,39.269908169872416,0.039269908169872414,39.269908169872416,unique_exposed_swept_capsule_mass,penetration_depth_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.03,0.3,0.4,0.4 g/cm^3,95.0,3600.0,26.38888888888889,65.97222222222221,derived_from_throughput,0.839984421873892,8.39984421873892,1.0,0.839984421873892,8.39984421873892,0.3359937687495568,2.09996105468473,7.008699575918782,0.14726215563702155,0.14726215563702155,0.0629988316405419,0.21026098727756345,0.05890486225480862,58.90486225480862,0.02519953265621676,25.19953265621676,0.08410439491102539,84.1043949110254,84.1043949110254,1.6493055555555556,1649.3055555555557,0.05890486225480862,58.90486225480862,0.05890486225480862,58.90486225480862,unique_exposed_swept_capsule_mass,penetration_depth_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.04,0.4,0.4,0.4 g/cm^3,95.0,3600.0,26.38888888888889,65.97222222222221,derived_from_throughput,0.839984421873892,8.39984421873892,1.0,0.839984421873892,8.39984421873892,0.3359937687495568,2.09996105468473,7.008699575918782,0.19634954084936207,0.19634954084936207,0.08399844218738921,0.2803479830367513,0.07853981633974483,78.53981633974483,0.033599376874955685,33.59937687495569,0.11213919321470052,112.13919321470053,112.13919321470053,1.6493055555555556,1649.3055555555557,0.07853981633974483,78.53981633974483,0.07853981633974483,78.53981633974483,unique_exposed_swept_capsule_mass,penetration_depth_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.05,0.5,0.4,0.4 g/cm^3,95.0,3600.0,26.38888888888889,65.97222222222221,derived_from_throughput,0.839984421873892,8.39984421873892,1.0,0.839984421873892,8.39984421873892,0.3359937687495568,2.09996105468473,7.008699575918782,0.24543692606170261,0.24543692606170261,0.10499805273423651,0.3504349787959391,0.09817477042468105,98.17477042468104,0.04199922109369461,41.99922109369461,0.14017399151837565,140.17399151837566,140.17399151837566,1.6493055555555556,1649.3055555555557,0.09817477042468105,98.17477042468104,0.09817477042468105,98.17477042468104,unique_exposed_swept_capsule_mass,penetration_depth_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.06,0.6,0.4,0.4 g/cm^3,95.0,3600.0,26.38888888888889,65.97222222222221,derived_from_throughput,0.839984421873892,8.39984421873892,1.0,0.839984421873892,8.39984421873892,0.3359937687495568,2.09996105468473,7.008699575918782,0.2945243112740431,0.2945243112740431,0.1259976632810838,0.4205219745551269,0.11780972450961724,117.80972450961724,0.05039906531243352,50.39906531243352,0.16820878982205079,168.2087898220508,168.2087898220508,1.6493055555555556,1649.3055555555557,0.11780972450961724,117.80972450961724,0.11780972450961724,117.80972450961724,unique_exposed_swept_capsule_mass,penetration_depth_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.07,0.7000000000000001,0.4,0.4 g/cm^3,95.0,3600.0,26.38888888888889,65.97222222222221,derived_from_throughput,0.839984421873892,8.39984421873892,1.0,0.839984421873892,8.39984421873892,0.3359937687495568,2.09996105468473,7.008699575918782,0.3436116964863837,0.3436116964863837,0.14699727382793112,0.4906089703143148,0.13744467859455348,137.44467859455347,0.05879890953117245,58.79890953117245,0.19624358812572593,196.24358812572592,196.24358812572592,1.6493055555555556,1649.3055555555557,0.13744467859455348,137.44467859455347,0.13744467859455348,137.44467859455347,unique_exposed_swept_capsule_mass,penetration_depth_density
