bulk_density_g_per_cm3,acquisition_time_s,velocity_mm_s,advance_dz_mm_per_acq,probe_mass_mg_instant,swept_increment_mass_mg,unique_exposed_mass_mg,effective_sample_size_mg,time_weighted_contribution_proxy_mg_s
0.4,1.0,8.39984421873892,8.39984421873892,196.34954084936209,83.99844218738922,280.3479830367513,280.3479830367513,196.34954084936209
0.4,1.2105263157894737,8.39984421873892,10.168232475315534,196.34954084936209,101.68232475315536,298.0318656025174,298.0318656025174,237.68628629133306
0.4,1.4210526315789473,8.39984421873892,11.936620731892148,196.34954084936209,119.3662073189215,315.7157481682836,315.7157481682836,279.023031733304
0.4,1.631578947368421,8.39984421873892,13.705008988468762,196.34954084936209,137.05008988468765,333.39963073404977,333.39963073404977,320.359777175275
0.4,1.8421052631578947,8.39984421873892,15.47339724504538,196.34954084936209,154.73397245045385,351.08351329981593,351.08351329981593,361.69652261724593
0.4,2.052631578947368,8.39984421873892,17.24178550162199,196.34954084936209,172.41785501621993,368.76739586558205,368.76739586558205,403.03326805921694
0.4,2.263157894736842,8.39984421873892,19.010173758198608,196.34954084936209,190.10173758198613,386.4512784313482,386.4512784313482,444.3700135011879
0.4,2.473684210526316,8.39984421873892,20.778562014775225,196.34954084936209,207.7856201477523,404.1351609971144,404.1351609971144,485.7067589431589
0.4,2.6842105263157894,8.39984421873892,22.54695027135184,196.34954084936209,225.46950271351844,421.81904356288055,421.81904356288055,527.0435043851298
0.4,2.894736842105263,8.39984421873892,24.315338527928454,196.34954084936209,243.15338527928458,439.50292612864666,439.50292612864666,568.3802498271008
0.4,3.1052631578947367,8.39984421873892,26.083726784505068,196.34954084936209,260.83726784505075,457.18680869441283,457.18680869441283,609.7169952690717
0.4,3.3157894736842106,8.39984421873892,27.852115041081685,196.34954084936209,278.52115041081686,474.87069126017894,474.87069126017894,651.0537407110427
0.4,3.526315789473684,8.39984421873892,29.620503297658296,196.34954084936209,296.205032976583,492.5545738259451,492.5545738259451,692.3904861530137
0.4,3.7368421052631575,8.39984421873892,31.38889155423491,196.34954084936209,313.88891554234914,510.23845639171117,510.23845639171117,733.7272315949847
0.4,3.9473684210526314,8.39984421873892,33.157279810811524,196.34954084936209,331.5727981081153,527.9223389574773,527.9223389574773,775.0639770369556
0.4,4.157894736842105,8.39984421873892,34.92566806738814,196.34954084936209,349.2566806738814,545.6062215232434,545.6062215232434,816.4007224789266
0.4,4.368421052631579,8.39984421873892,36.69405632396475,196.34954084936209,366.9405632396476,563.2901040890096,563.2901040890096,857.7374679208975
0.4,4.578947368421052,8.39984421873892,38.462444580541366,196.34954084936209,384.6244458054137,580.9739866547758,580.9739866547758,899.0742133628685
0.4,4.789473684210526,8.39984421873892,40.23083283711798,196.34954084936209,402.3083283711798,598.6578692205419,598.6578692205419,940.4109588048394
0.4,5.0,8.39984421873892,41.9992210936946,196.34954084936209,419.99221093694604,616.3417517863081,616.3417517863081,981.7477042468105
0.5,1.0,6.719875374991137,6.719875374991137,245.43692606170262,83.99844218738922,329.4353682490918,329.4353682490918,245.43692606170262
0.5,1.2105263157894737,6.719875374991137,8.134585980252428,245.43692606170262,101.68232475315536,347.11925081485793,347.11925081485793,297.1078578641663
0.5,1.4210526315789473,6.719875374991137,9.54929658551372,245.43692606170262,119.3662073189215,364.8031333806241,364.8031333806241,348.77878966663
0.5,1.631578947368421,6.719875374991137,10.96400719077501,245.43692606170262,137.05008988468765,382.4870159463902,382.4870159463902,400.44972146909373
0.5,1.8421052631578947,6.719875374991137,12.378717796036305,245.43692606170262,154.73397245045385,400.1708985121564,400.1708985121564,452.12065327155744
0.5,2.052631578947368,6.719875374991137,13.793428401297593,245.43692606170262,172.41785501621993,417.8547810779225,417.8547810779225,503.7915850740211
0.5,2.263157894736842,6.719875374991137,15.208139006558888,245.43692606170262,190.10173758198613,435.53866364368866,435.53866364368866,555.4625168764849
0.5,2.473684210526316,6.719875374991137,16.62284961182018,245.43692606170262,207.78562014775227,453.2225462094548,453.2225462094548,607.1334486789486
0.5,2.6842105263157894,6.719875374991137,18.03756021708147,245.43692606170262,225.4695027135184,470.90642877522095,470.90642877522095,658.8043804814122
0.5,2.894736842105263,6.719875374991137,19.45227082234276,245.43692606170262,243.15338527928455,488.59031134098706,488.59031134098706,710.475312283876
0.5,3.1052631578947367,6.719875374991137,20.866981427604053,245.43692606170262,260.8372678450507,506.2741939067532,506.2741939067532,762.1462440863397
0.5,3.3157894736842106,6.719875374991137,22.28169203286535,245.43692606170262,278.52115041081686,523.9580764725196,523.9580764725196,813.8171758888034
0.5,3.526315789473684,6.719875374991137,23.696402638126635,245.43692606170262,296.20503297658297,541.6419590382854,541.6419590382854,865.488107691267
0.5,3.7368421052631575,6.719875374991137,25.111113243387926,245.43692606170262,313.8889155423491,559.3258416040517,559.3258416040517,917.1590394937308
0.5,3.9473684210526314,6.719875374991137,26.525823848649225,245.43692606170262,331.57279810811536,577.009724169818,577.009724169818,968.8299712961946
0.5,4.157894736842105,6.719875374991137,27.940534453910516,245.43692606170262,349.2566806738815,594.6936067355841,594.6936067355841,1020.5009030986582
0.5,4.368421052631579,6.719875374991137,29.355245059171807,245.43692606170262,366.94056323964764,612.3774893013502,612.3774893013502,1072.171834901122
0.5,4.578947368421052,6.719875374991137,30.7699556644331,245.43692606170262,384.62444580541376,630.0613718671165,630.0613718671165,1123.8427667035855
0.5,4.789473684210526,6.719875374991137,32.18466626969439,245.43692606170262,402.3083283711799,647.7452544328826,647.7452544328826,1175.5136985060492
0.5,5.0,6.719875374991137,33.59937687495568,245.43692606170262,419.99221093694604,665.4291369986487,665.4291369986487,1227.184630308513
0.6,1.0,5.599896145825946,5.599896145825946,294.5243112740431,83.99844218738919,378.52275346143233,378.52275346143233,294.5243112740431
0.6,1.2105263157894737,5.599896145825946,6.7788216502103555,294.5243112740431,101.68232475315533,396.20663602719844,396.20663602719844,356.5294294369996
0.6,1.4210526315789473,5.599896145825946,7.957747154594767,294.5243112740431,119.3662073189215,413.8905185929646,413.8905185929646,418.534547599956
0.6,1.631578947368421,5.599896145825946,9.136672658979176,294.5243112740431,137.05008988468765,431.5744011587307,431.5744011587307,480.5396657629124
0.6,1.8421052631578947,5.599896145825946,10.315598163363585,294.5243112740431,154.7339724504538,449.2582837244969,449.2582837244969,542.544783925869
0.6,2.052631578947368,5.599896145825946,11.494523667747993,294.5243112740431,172.4178550162199,466.942166290263,466.942166290263,604.5499020888252
0.6,2.263157894736842,5.599896145825946,12.673449172132404,294.5243112740431,190.10173758198607,484.6260488560292,484.6260488560292,666.5550202517817
0.6,2.473684210526316,5.599896145825946,13.852374676516817,294.5243112740431,207.7856201477523,502.30993142179545,502.30993142179545,728.5601384147382
0.6,2.6842105263157894,5.599896145825946,15.031300180901223,294.5243112740431,225.46950271351835,519.9938139875613,519.9938139875613,790.5652565776946
0.6,2.894736842105263,5.599896145825946,16.210225685285632,294.5243112740431,243.1533852792845,537.6776965533276,537.6776965533276,852.570374740651
0.6,3.1052631578947367,5.599896145825946,17.389151189670045,294.5243112740431,260.8372678450507,555.3615791190939,555.3615791190939,914.5754929036075
0.6,3.3157894736842106,5.599896145825946,18.568076694054454,294.5243112740431,278.5211504108168,573.04546168486,573.04546168486,976.5806110665641
0.6,3.526315789473684,5.599896145825946,19.747002198438864,294.5243112740431,296.20503297658297,590.7293442506261,590.7293442506261,1038.5857292295204
0.6,3.7368421052631575,5.599896145825946,20.92592770282327,294.5243112740431,313.888915542349,608.4132268163921,608.4132268163921,1100.590847392477
0.6,3.9473684210526314,5.599896145825946,22.104853207207682,294.5243112740431,331.57279810811525,626.0971093821585,626.0971093821585,1162.5959655554332
0.6,4.157894736842105,5.599896145825946,23.283778711592092,294.5243112740431,349.25668067388136,643.7809919479246,643.7809919479246,1224.6010837183899
0.6,4.368421052631579,5.599896145825946,24.4627042159765,294.5243112740431,366.94056323964753,661.4648745136907,661.4648745136907,1286.6062018813461
0.6,4.578947368421052,5.599896145825946,25.64162972036091,294.5243112740431,384.62444580541364,679.1487570794569,679.1487570794569,1348.6113200443026
0.6,4.789473684210526,5.599896145825946,26.82055522474532,294.5243112740431,402.3083283711798,696.832639645223,696.832639645223,1410.6164382072589
0.6,5.0,5.599896145825946,27.99948072912973,294.5243112740431,419.9922109369459,714.5165222109891,714.5165222109891,1472.6215563702153
