bulk_density_g_per_cm3,velocity_mm_s,acquisition_time_s,advance_dz_mm_per_acq,probe_mass_mg_instant,swept_increment_mass_mg,unique_exposed_mass_mg,effective_sample_size_mg,mass_passed_mg_per_acq,time_weighted_contribution_proxy_mg_s
0.4,8.39984421873892,1.0,8.39984421873892,196.34954084936209,83.99844218738922,280.3479830367513,280.3479830367513,1649.3055555555557,196.34954084936209
0.5,6.719875374991137,1.0,6.719875374991137,245.43692606170262,83.99844218738922,329.4353682490918,329.4353682490918,1649.3055555555557,245.43692606170262
0.6,5.599896145825946,1.0,5.599896145825946,294.5243112740431,83.99844218738919,378.52275346143233,378.52275346143233,1649.3055555555557,294.5243112740431
