setup,penetration_depth_mm,penetration_depth_m,penetration_depth_cm,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,static_sampled_volume_m3,static_sampled_volume_mm3,spoon_sample_volume_cm3,static_sampled_mass_kg,static_sampled_mass_g,static_sampled_mass_mg,n_subscans,integration_time_ms,acquisition_time_s,total_spectral_acquisition_time_s,spoon_interval_s,flip_frequency_hz,spoons_contributing,effective_sampled_mass_kg,effective_sample_size_g,effective_sampled_mass_mg,effective_sample_size_mg
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,1.0,1.0,5.0,9.817477042468103e-06,0.009817477042468103,9.817477042468104,9.817477042468104
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,2.0,0.5,2.5,4.908738521234052e-06,0.004908738521234052,4.908738521234052,4.908738521234052
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,3.2724923474893677e-06,0.0032724923474893677,3.2724923474893677,3.2724923474893677
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,4.0,0.25,1.25,2.454369260617026e-06,0.002454369260617026,2.454369260617026,2.454369260617026
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,5.0,0.2,1.0,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,1.9634954084936205
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,1.0,1.0,5.0,2.4543692606170257e-05,0.024543692606170255,24.543692606170254,24.543692606170254
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,2.0,0.5,2.5,1.2271846303085128e-05,0.012271846303085128,12.271846303085127,12.271846303085127
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,8.18123086872342e-06,0.00818123086872342,8.181230868723421,8.181230868723421
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,4.0,0.25,1.25,6.135923151542564e-06,0.006135923151542564,6.135923151542563,6.135923151542563
B,0.5,0.0005,0.05,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,500,10.0,5.0,5.0,5.0,0.2,1.0,4.908738521234052e-06,0.004908738521234052,4.908738521234052,4.908738521234052
