bulk_density_g_cm3,spoon_interval_s,static_mass_mg_min,static_mass_mg_max,effective_mass_mg_min,effective_mass_mg_max
0.4,1.0,0.7853981633974482,15.707963267948967,3.926990816987241,78.53981633974485
0.4,2.0,0.7853981633974482,15.707963267948967,1.9634954084936205,39.26990816987242
0.4,3.0,0.7853981633974482,15.707963267948967,1.3089969389957472,26.17993877991495
0.4,4.0,0.7853981633974482,15.707963267948967,0.9817477042468102,19.63495408493621
0.4,5.0,0.7853981633974482,15.707963267948967,0.7853981633974482,15.707963267948967
0.5,1.0,0.9817477042468102,19.634954084936208,4.908738521234052,98.17477042468101
0.5,2.0,0.9817477042468102,19.634954084936208,2.454369260617026,49.08738521234051
0.5,3.0,0.9817477042468102,19.634954084936208,1.6362461737446838,32.724923474893686
0.5,4.0,0.9817477042468102,19.634954084936208,1.227184630308513,24.543692606170254
0.5,5.0,0.9817477042468102,19.634954084936208,0.9817477042468102,19.634954084936208
0.6,1.0,1.1780972450961724,23.56194490192345,5.8904862254808625,117.80972450961725
0.6,2.0,1.1780972450961724,23.56194490192345,2.9452431127404313,58.90486225480863
0.6,3.0,1.1780972450961724,23.56194490192345,1.963495408493621,39.26990816987242
0.6,4.0,1.1780972450961724,23.56194490192345,1.4726215563702156,29.452431127404314
0.6,5.0,1.1780972450961724,23.56194490192345,1.1780972450961724,23.56194490192345
