bulk_density_g_cm3,penetration_depth_min_mm,penetration_depth_max_mm,sampled_volume_min_mm3,sampled_volume_max_mm3,effective_sample_size_min_mg,effective_sample_size_max_mg
0.4,0.1,2.0,1.9634954084936207,39.269908169872416,0.7853981633974484,15.707963267948967
0.5,0.1,2.0,1.9634954084936207,39.269908169872416,0.9817477042468105,19.634954084936208
0.6,0.1,2.0,1.9634954084936207,39.269908169872416,1.1780972450961724,23.561944901923447
