parameter,value
pipe_diameter_cm,10.0
nir_spot_diameter_cm,2.5
measurement_depth_cm,0.1
bulk_density_g_per_cm3,0.5
density_scenarios_g_per_cm3,"0.4, 0.5, 0.6"
throughput_kg,95.0
throughput_time_s,3600.0
acquisition_time_s,1.0
axial_length_model,spot_diameter
