rpm,blocked_time_s,effective_time_s,n_refresh
10,0.8488263631567752,2.151173636843225,8.109733552923256
11,1.1574904952137843,1.8425095047862157,7.64070690821558
12,1.0610329539459689,1.9389670460540311,8.771680263507907
13,0.9794150344116634,2.020584965588337,9.902653618800235
14,0.9094568176679733,2.0905431823320266,11.033626974092558
15,0.8488263631567752,2.151173636843225,12.16460032938488
16,1.0610329539459689,1.9389670460540311,11.695573684677209
17,0.9986192507726765,2.0013807492273235,12.826547039969535
18,0.9431404035075279,2.056859596492472,13.95752039526186
19,0.8935014349018686,2.106498565098131,15.088493750554182
20,0.8488263631567752,2.151173636843225,16.219467105846512
21,1.010507575186637,1.989492424813363,15.750440461138837
22,0.9645754126781536,2.035424587321846,16.881413816431156
23,0.9226373512573643,2.0773626487426355,18.012387171723482
24,0.8841941282883075,2.1158058717116925,19.143360527015812
25,0.8488263631567751,2.151173636843225,20.274333882308138
26,0.9794150344116634,2.020584965588337,19.80530723760047
27,0.9431404035075279,2.056859596492472,20.936280592892793
28,0.9094568176679733,2.0905431823320266,22.067253948185115
29,0.878096237748388,2.121903762251612,23.19822730347745
30,0.8488263631567752,2.151173636843225,24.32920065876976
31,0.9583523454995849,2.041647654500415,23.86017401406209
32,0.9284038347027228,2.071596165297277,24.991147369354415
33,0.9002703851662767,2.0997296148337234,26.122120724646745
34,0.8737918444260919,2.126208155573908,27.25309407993907
35,0.8488263631567752,2.151173636843225,28.38406743523139
