density_g_cm3,rpm,penetration_depth_mm,probe_diameter_mm,acquisition_time_s,angular_speed_rad_s,tangential_velocity_cm_s,crossing_time_s,blocked_time_s,effective_time_s,sampled_mass_per_refresh_mg,n_refresh,effective_sampled_mass_estimate_mg
0.4,10,0.1,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,0.7853981633974484,8.109733552923256,6.369369838108589
0.4,10,0.2,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,1.5707963267948968,8.109733552923256,12.738739676217177
0.4,10,0.3,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,2.356194490192345,8.109733552923256,19.108109514325765
0.4,10,0.4,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,3.1415926535897936,8.109733552923256,25.477479352434354
0.4,10,0.5,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,3.926990816987242,8.109733552923256,31.846849190542944
0.4,10,0.6,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,4.71238898038469,8.109733552923256,38.21621902865153
0.4,10,0.7,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,5.497787143782138,8.109733552923256,44.58558886676012
0.4,10,0.8,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,6.283185307179587,8.109733552923256,50.95495870486871
0.4,10,0.9,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,7.068583470577035,8.109733552923256,57.3243285429773
0.4,10,1.0,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,7.853981633974484,8.109733552923256,63.69369838108589
0.4,10,1.1,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,8.639379797371934,8.109733552923256,70.06306821919449
0.4,10,1.2,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,9.42477796076938,8.109733552923256,76.43243805730306
0.4,10,1.3,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,10.210176124166829,8.109733552923256,82.80180789541166
0.4,10,1.4,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,10.995574287564276,8.109733552923256,89.17117773352024
0.4,10,1.5,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,11.780972450961725,8.109733552923256,95.54054757162884
0.4,10,1.6,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,12.566370614359174,8.109733552923256,101.90991740973742
0.4,10,1.7,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,13.351768777756622,8.109733552923256,108.279287247846
0.4,10,1.8,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,14.13716694115407,8.109733552923256,114.6486570859546
0.4,10,1.9,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,14.922565104551516,8.109733552923256,121.01802692406316
0.4,10,2.0,5.0,3.0,1.0471975511965976,1.8849555921538759,0.2652582384864922,0.8488263631567752,2.151173636843225,15.707963267948967,8.109733552923256,127.38739676217178
0.4,11,0.1,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,0.7853981633974484,7.64070690821558,6.000997172770712
0.4,11,0.2,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,1.5707963267948968,7.64070690821558,12.001994345541425
0.4,11,0.3,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,2.356194490192345,7.64070690821558,18.002991518312136
0.4,11,0.4,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,3.1415926535897936,7.64070690821558,24.00398869108285
0.4,11,0.5,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,3.926990816987242,7.64070690821558,30.004985863853562
0.4,11,0.6,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,4.71238898038469,7.64070690821558,36.00598303662427
0.4,11,0.7,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,5.497787143782138,7.64070690821558,42.00698020939498
0.4,11,0.8,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,6.283185307179587,7.64070690821558,48.0079773821657
0.4,11,0.9,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,7.068583470577035,7.64070690821558,54.008974554936415
0.4,11,1.0,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,7.853981633974484,7.64070690821558,60.009971727707125
0.4,11,1.1,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,8.639379797371934,7.64070690821558,66.01096890047785
0.4,11,1.2,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,9.42477796076938,7.64070690821558,72.01196607324854
0.4,11,1.3,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,10.210176124166829,7.64070690821558,78.01296324601925
0.4,11,1.4,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,10.995574287564276,7.64070690821558,84.01396041878996
0.4,11,1.5,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,11.780972450961725,7.64070690821558,90.01495759156069
0.4,11,1.6,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,12.566370614359174,7.64070690821558,96.0159547643314
0.4,11,1.7,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,13.351768777756622,7.64070690821558,102.0169519371021
0.4,11,1.8,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,14.13716694115407,7.64070690821558,108.01794910987283
0.4,11,1.9,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,14.922565104551516,7.64070690821558,114.01894628264351
0.4,11,2.0,5.0,3.0,1.1519173063162573,2.0734511513692633,0.24114385316953843,1.1574904952137843,1.8425095047862157,15.707963267948967,7.64070690821558,120.01994345541425
0.4,12,0.1,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,0.7853981633974484,8.771680263507907,6.889261568868756
0.4,12,0.2,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,1.5707963267948968,8.771680263507907,13.778523137737512
0.4,12,0.3,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,2.356194490192345,8.771680263507907,20.667784706606266
0.4,12,0.4,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,3.1415926535897936,8.771680263507907,27.557046275475024
0.4,12,0.5,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,3.926990816987242,8.771680263507907,34.44630784434378
0.4,12,0.6,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,4.71238898038469,8.771680263507907,41.33556941321253
0.4,12,0.7,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,5.497787143782138,8.771680263507907,48.224830982081286
0.4,12,0.8,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,6.283185307179587,8.771680263507907,55.11409255095005
0.4,12,0.9,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,7.068583470577035,8.771680263507907,62.00335411981881
0.4,12,1.0,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,7.853981633974484,8.771680263507907,68.89261568868756
0.4,12,1.1,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,8.639379797371934,8.771680263507907,75.78187725755633
0.4,12,1.2,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,9.42477796076938,8.771680263507907,82.67113882642506
0.4,12,1.3,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,10.210176124166829,8.771680263507907,89.56040039529383
0.4,12,1.4,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,10.995574287564276,8.771680263507907,96.44966196416257
0.4,12,1.5,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,11.780972450961725,8.771680263507907,103.33892353303133
0.4,12,1.6,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,12.566370614359174,8.771680263507907,110.2281851019001
0.4,12,1.7,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,13.351768777756622,8.771680263507907,117.11744667076884
0.4,12,1.8,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,14.13716694115407,8.771680263507907,124.00670823963762
0.4,12,1.9,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,14.922565104551516,8.771680263507907,130.89596980850635
0.4,12,2.0,5.0,3.0,1.2566370614359172,2.261946710584651,0.22104853207207686,1.0610329539459689,1.9389670460540311,15.707963267948967,8.771680263507907,137.7852313773751
0.4,13,0.1,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,0.7853981633974484,9.902653618800235,7.7775259649668005
0.4,13,0.2,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,1.5707963267948968,9.902653618800235,15.555051929933601
0.4,13,0.3,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,2.356194490192345,9.902653618800235,23.3325778949004
0.4,13,0.4,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,3.1415926535897936,9.902653618800235,31.110103859867202
0.4,13,0.5,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,3.926990816987242,9.902653618800235,38.887629824834
0.4,13,0.6,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,4.71238898038469,9.902653618800235,46.6651557898008
0.4,13,0.7,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,5.497787143782138,9.902653618800235,54.4426817547676
0.4,13,0.8,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,6.283185307179587,9.902653618800235,62.220207719734404
0.4,13,0.9,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,7.068583470577035,9.902653618800235,69.9977336847012
0.4,13,1.0,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,7.853981633974484,9.902653618800235,77.775259649668
0.4,13,1.1,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,8.639379797371934,9.902653618800235,85.55278561463481
0.4,13,1.2,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,9.42477796076938,9.902653618800235,93.3303115796016
0.4,13,1.3,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,10.210176124166829,9.902653618800235,101.1078375445684
0.4,13,1.4,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,10.995574287564276,9.902653618800235,108.8853635095352
0.4,13,1.5,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,11.780972450961725,9.902653618800235,116.662889474502
0.4,13,1.6,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,12.566370614359174,9.902653618800235,124.44041543946881
0.4,13,1.7,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,13.351768777756622,9.902653618800235,132.2179414044356
0.4,13,1.8,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,14.13716694115407,9.902653618800235,139.9954673694024
0.4,13,1.9,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,14.922565104551516,9.902653618800235,147.77299333436918
0.4,13,2.0,5.0,3.0,1.3613568165555772,2.450442269800039,0.20404479883576324,0.9794150344116634,2.020584965588337,15.707963267948967,9.902653618800235,155.550519299336
0.4,14,0.1,5.0,3.0,1.4660765716752369,2.6389378290154264,0.18947017034749444,0.9094568176679733,2.0905431823320266,0.7853981633974484,11.033626974092558,8.665790361064841
0.4,14,0.2,5.0,3.0,1.4660765716752369,2.6389378290154264,0.18947017034749444,0.9094568176679733,2.0905431823320266,1.5707963267948968,11.033626974092558,17.331580722129683
0.4,14,0.3,5.0,3.0,1.4660765716752369,2.6389378290154264,0.18947017034749444,0.9094568176679733,2.0905431823320266,2.356194490192345,11.033626974092558,25.99737108319452
